DRA Office,ID,State,Asian 2010 Total,Asian 2010 VAP,Asian 2019 CVAP,Asian 2019 Total,Asian 2020 ACSTot,Asian 2020 CVAP,Asian 2020 Total,Asian 2020 TotalAdj,Asian 2020 VAP,AsianAlone 2019 CVAP,AsianAlone 2020 ACSTot,AsianAlone 2020 CVAP,AsianAlone 2020 NHVAP,Black 2010 Total,Black 2010 VAP,Black 2019 CVAP,Black 2019 Total,Black 2020 ACSTot,Black 2020 CVAP,Black 2020 Total,Black 2020 TotalAdj,Black 2020 VAP,BlackAlone 2010 Total,BlackAlone 2010 VAP,BlackAlone 2019 CVAP,BlackAlone 2019 Total,BlackAlone 2020 ACSTot,BlackAlone 2020 CVAP,BlackAlone 2020 NHVAP,Dem 2012 Pres,Dem 2012-2020 Comp,Dem 2014 AG,Dem 2014 Gov,Dem 2014 Sen,Dem 2016 AG,Dem 2016 Gov,Dem 2016 LtG,Dem 2016 Pres,Dem 2016 Sen,Dem 2016 SenRoff,Dem 2016-2020 Comp,Dem 2016-2021 Comp,Dem 2017 AG,Dem 2017 Gov,Dem 2017 LtG,Dem 2017 SenSp,Dem 2018 AG,Dem 2018 Gov,Dem 2018 LtG,Dem 2018 Sen,Dem 2018 SenRoff,Dem 2018 SenSp,Dem 2019 AG,Dem 2019 Gov,Dem 2019 GovRoff,Dem 2019 LtG,Dem 2020 AG,Dem 2020 Aud,Dem 2020 Gov,Dem 2020 LtG,Dem 2020 Pres,Dem 2020 Sen,Dem 2020 Sen,Dem 2020 SenSp,Dem 2020 SoS,Dem 2020 Tres,Dem 2021 AG,Dem 2021 Gov,Dem 2021 LtG,Dem 2021 SenRoff,Dem 2021 SenSpRoff,Dem_2018_AG,Dem_2018_Sen,F109,F110,Hispanic 2010 Total,Hispanic 2010 VAP,Hispanic 2019 CVAP,Hispanic 2019 Total,Hispanic 2020 ACSTot,Hispanic 2020 CVAP,Hispanic 2020 NHVAP,Hispanic 2020 Total,Hispanic 2020 TotalAdj,Hispanic 2020 VAP,Label,Native 2010 Total,Native 2010 VAP,Native 2019 CVAP,Native 2019 Total,Native 2020 ACSTot,Native 2020 CVAP,Native 2020 Total,Native 2020 TotalAdj,Native 2020 VAP,NativeAlone 2010 Total,NativeAlone 2010 VAP,NativeAlone 2019 CVAP,NativeAlone 2019 Total,NativeAlone 2020 ACSTot,NativeAlone 2020 CVAP,NativeAlone 2020 NHVAP,OtherAlone 2019 CVAP,OtherAlone 2020 ACSTot,OtherAlone 2020 CVAP,OtherAlone 2020 NHVAP,Pacific 2010 Total,Pacific 2010 VAP,Pacific 2019 CVAP,Pacific 2019 Total,Pacific 2020 ACSTot,Pacific 2020 CVAP,Pacific 2020 Total,Pacific 2020 TotalAdj,Pacific 2020 VAP,PacificAlone 2020 ACSTot,PacificAlone 2020 CVAP,PacificAlone 2020 NHVAP,Rep 2012 Pres,Rep 2012-2020 Comp,Rep 2014 AG,Rep 2014 Gov,Rep 2014 Sen,Rep 2016 AG,Rep 2016 Gov,Rep 2016 LtG,Rep 2016 Pres,Rep 2016 Sen,Rep 2016 SenRoff,Rep 2016-2020 Comp,Rep 2016-2021 Comp,Rep 2017 AG,Rep 2017 Gov,Rep 2017 LtG,Rep 2017 SenSp,Rep 2018 AG,Rep 2018 Gov,Rep 2018 LtG,Rep 2018 Sen,Rep 2018 SenRoff,Rep 2018 SenSp,Rep 2019 AG,Rep 2019 Gov,Rep 2019 GovRoff,Rep 2019 LtG,Rep 2020 AG,Rep 2020 Aud,Rep 2020 Gov,Rep 2020 LtG,Rep 2020 Pres,Rep 2020 Sen,Rep 2020 Sen,Rep 2020 SenSp,Rep 2020 SoS,Rep 2020 Tres,Rep 2021 AG,Rep 2021 Gov,Rep 2021 LtG,Rep 2021 SenRoff,Rep 2021 SenSpRoff,Rep_2018_AG,Rep_2018_Sen,Total 2010 Total,Total 2010 VAP,Total 2012 Pres,Total 2012-2020 Comp,Total 2014 AG,Total 2014 Gov,Total 2014 Sen,Total 2016 AG,Total 2016 Gov,Total 2016 LtG,Total 2016 Pres,Total 2016 Sen,Total 2016 SenRoff,Total 2016-2020 Comp,Total 2016-2021 Comp,Total 2017 AG,Total 2017 Gov,Total 2017 LtG,Total 2017 SenSp,Total 2018 AG,Total 2018 Gov,Total 2018 LtG,Total 2018 Sen,Total 2018 SenRoff,Total 2018 SenSp,Total 2019 AG,Total 2019 CVAP,Total 2019 Gov,Total 2019 GovRoff,Total 2019 LtG,Total 2019 Total,Total 2020 ACSTot,Total 2020 AG,Total 2020 Aud,Total 2020 CVAP,Total 2020 Gov,Total 2020 LtG,Total 2020 NHVAP,Total 2020 Pres,Total 2020 Sen,Total 2020 Sen,Total 2020 SenSp,Total 2020 SoS,Total 2020 Total,Total 2020 TotalAdj,Total 2020 Tres,Total 2020 VAP,Total 2021 AG,Total 2021 Gov,Total 2021 LtG,Total 2021 SenRoff,Total 2021 SenSpRoff,Total_2018_AG,Total_2018_Sen,TwoOrMore 2019 CVAP,TwoOrMore 2020 ACSTot,TwoOrMore 2020 NHVAP,White 2010 Total,White 2010 VAP,White 2019 CVAP,White 2019 Total,White 2020 ACSTot,White 2020 CVAP,White 2020 NHVAP,White 2020 Total,White 2020 TotalAdj,White 2020 VAP
Representative,15,FL,28411,20428,19201,42287,45342,20156,48862,,36096,17355,37208,0,31134,103585,70183,76896,125088,128005,77177,130484,,92389,0,0,73814,0,104506,0,78362,,,,,,,,,144495,133986,,140120,,,,,,119196,133068,,134187,,,,,,,,,,,176175,,,,,,,,,,,,,,,129213,87256,99795,178873,188338,107214,136420,193574,,136420,15,6563,4715,3536,7049,6946,3397,16345,,12350,0,0,1343,0,1643,0,1315,1151,3429,0,3319,1344,922,297,1532,1457,233,1771,,1230,244,0,323,,,,,,,,,156598,160132,,154014,,,,,,146704,135506,,137602,,,,,,,,,,,187716,,,,,,,,,,,,,665410,510128,,,,,,,,,315971,309628,,300765,,,,,,270556,272367,,271789,,,,536539,,,,755092,769626,,,547761,,,599800,369043,,,,,769221,,,599800,,,,,,,,0,19146,19501,407673,333211,336083,414413,415110,338996,329426,392970,,329426
Representative,16,FL,16409,11459,11853,24293,24290,12178,30034,,21880,10299,18713,0,17637,65907,42552,56265,91902,101625,62015,106142,,72738,0,0,53975,0,84259,0,61401,,,,,,,,,136620,126892,,138559,,,,,,118774,131830,,133059,,,,,,,,,,,184451,,,,,,,,,,,,,,,105318,66934,74630,149693,152488,78571,113409,166150,,113409,16,4913,3397,3290,5253,5658,3213,15045,,11255,0,0,1162,0,1570,0,1324,1210,2614,0,2735,1156,745,323,1366,1300,329,1578,,1112,424,0,423,,,,,,,,,178089,181445,,179003,,,,,,170064,160742,,163246,,,,,,,,,,,220844,,,,,,,,,,,,,591618,455803,,,,,,,,,329495,323452,,324342,,,,,,294466,296709,,296305,,,,527501,,,,724490,744559,,,545528,,,607353,410371,,,,,769221,,,607353,,,,,,,,0,16665,18597,405032,334613,380087,460543,467826,388328,391827,460213,,391827
Representative,17,FL,10404,7519,7597,14882,15789,8471,17146,,13046,6610,12084,0,10415,43987,29438,30939,53759,54762,32842,51707,,36414,0,0,29490,0,44441,0,30131,,,,,,,,,152179,140165,,150637,,,,,,132864,143620,,148299,,,,,,,,,,,187437,,,,,,,,,,,,,,,68352,46074,48611,95577,99876,54180,75570,105922,,75570,17,4768,3557,3282,5414,5144,3387,12547,,9842,0,0,1073,0,1364,0,1177,893,3542,0,2535,877,619,247,900,987,231,1005,,711,258,0,204,,,,,,,,,215204,216206,,212486,,,,,,198861,193310,,192834,,,,,,,,,,,259240,,,,,,,,,,,,,659340,548871,,,,,,,,,381607,373342,,369330,,,,,,338350,342153,,341132,,,,595566,,,,751983,769104,,,613887,,,654821,450950,,,,,769221,,,654821,,,,,,,,0,13219,16959,535514,464313,504005,586355,594328,514187,517830,581035,,517830
Representative,18,FL,11746,8338,7031,13353,14193,7813,16114,,12080,6291,11010,0,9607,93755,63802,67888,108336,113496,70081,112730,,79749,0,0,66147,0,98004,0,70356,,,,,,,,,111543,105290,,105718,,,,,,88883,97242,,99834,,,,,,,,,,,133382,,,,,,,,,,,,,,,147568,95474,93668,186245,197004,102718,142922,207594,,142922,18,7789,5271,4394,7635,8691,4564,17122,,12835,0,0,2058,0,2696,0,1759,687,2593,0,2196,1159,789,406,999,998,280,1370,,985,192,0,249,,,,,,,,,175086,172241,,170198,,,,,,157893,151532,,152679,,,,,,,,,,,213267,,,,,,,,,,,,,688693,529897,,,,,,,,,298332,292010,,280680,,,,,,251075,252857,,252513,,,,539685,,,,750299,768665,,,555723,,,603562,350692,,,,,769221,,,603562,,,,,,,,0,14378,15547,434507,360497,365887,442197,442786,369482,360926,425396,,360926
Representative,19,FL,11559,8311,9037,16022,16756,9687,18828,,14409,8061,13662,0,11430,47430,30812,31476,56331,57767,33551,57118,,39481,0,0,30434,0,49593,0,32684,,,,,,,,,133732,110890,,127813,,,,,,109339,120053,,123752,,,,,,,,,,,169532,,,,,,,,,,,,,,,103681,71151,63175,137586,141540,67440,105527,146650,,105527,19,4006,2945,2406,4267,4038,2482,10884,,8269,0,0,960,0,861,0,897,612,2393,0,2611,988,695,145,1089,830,102,1031,,761,287,0,190,,,,,,,,,217952,235589,,221280,,,,,,208084,202708,,202865,,,,,,,,,,,260626,,,,,,,,,,,,,645605,532177,,,,,,,,,363235,358319,,353876,,,,,,322290,326876,,326617,,,,570316,,,,746601,764450,,,587637,,,650465,433401,,,,,769221,,,650465,,,,,,,,0,10069,15306,483090,421197,463550,535975,546037,474035,481820,536453,,481820
Representative,20,FL,20060,15308,10691,23709,26901,12571,25320,,20078,9678,20252,0,15606,351387,245481,239832,411224,415532,246878,407543,,298383,0,0,236591,0,392278,0,278691,,,,,,,,,228670,218755,,215265,,,,,,194603,201051,,195833,,,,,,,,,,,252645,,,,,,,,,,,,,,,126702,93359,85543,167606,170223,89827,136811,181082,,136811,20,4415,3116,2178,7524,7396,2261,9240,,7063,0,0,562,0,756,0,804,2050,3873,0,4844,2592,1998,86,1401,1715,154,1525,,1234,257,0,206,,,,,,,,,59925,64852,,58494,,,,,,50271,48959,,48963,,,,,,,,,,,78293,,,,,,,,,,,,,682231,516480,,,,,,,,,295344,289493,,276391,,,,,,248081,251513,,244795,,,,478632,,,,763253,772089,,,490821,,,595408,333598,,,,,769221,,,595408,,,,,,,,0,16961,18293,190841,165903,138897,167907,167499,137073,140153,158637,,140153
Representative,21,FL,15569,11272,10684,21811,20749,10178,23461,,17612,9804,16349,0,13864,85782,58354,62145,104569,106311,63866,109268,,78571,0,0,60179,0,93047,0,69367,,,,,,,,,162267,166860,,163313,,,,,,141576,153649,,156797,,,,,,,,,,,199048,,,,,,,,,,,,,,,94112,64117,65673,121366,123896,68941,95351,134691,,95351,21,5665,3946,2640,5245,5415,2591,13057,,9782,0,0,1128,0,1299,0,882,1046,2901,0,3178,1218,902,254,1604,1611,255,1389,,1026,383,0,247,,,,,,,,,200710,194590,,195236,,,,,,182182,176650,,176817,,,,,,,,,,,240858,,,,,,,,,,,,,675582,541237,,,,,,,,,375896,370537,,363179,,,,,,329603,333581,,333614,,,,567839,,,,748543,758805,,,578128,,,629736,443634,,,,,769221,,,629736,,,,,,,,0,14816,18083,480388,406870,425798,502345,506109,431698,428764,491801,,428764
Representative,22,FL,19225,13989,12973,24138,25014,13612,27606,,20956,11710,19369,0,17191,109768,74770,71472,138122,143258,76138,137952,,99406,0,0,69973,0,126811,0,88330,,,,,,,,,197860,184019,,191132,,,,,,171887,181206,,182047,,,,,,,,,,,229906,,,,,,,,,,,,,,,152124,108966,92675,199559,203815,98332,154325,209738,,154325,22,6593,4574,2270,4846,4916,2506,13091,,9491,0,0,627,0,780,0,625,1623,3403,0,3462,1619,1158,311,991,926,376,1253,,961,181,0,247,,,,,,,,,129928,138388,,129448,,,,,,117177,114403,,116256,,,,,,,,,,,160679,,,,,,,,,,,,,678634,543300,,,,,,,,,337276,330225,,324467,,,,,,294384,297791,,298304,,,,522739,,,,758729,766010,,,532278,,,625981,393730,,,,,769220,,,625981,,,,,,,,0,14364,15533,400388,346962,341574,400391,397290,339988,346268,389651,,346268
Representative,23,FL,25103,18711,15751,30975,32529,17128,36743,,28005,14539,25386,0,22905,85522,59937,60334,106013,109255,62643,113634,,83294,0,0,57838,0,93552,0,70702,,,,,,,,,198947,187297,,191289,,,,,,172760,178762,,178060,,,,,,,,,,,232255,,,,,,,,,,,,,,,115772,86785,87787,158228,162247,93809,129741,168630,,129741,23,3542,2637,2077,5861,5017,2032,8610,,6722,0,0,803,0,854,0,723,1262,6138,0,8705,1340,1001,231,1086,1349,202,1300,,951,297,0,214,,,,,,,,,148254,154034,,143137,,,,,,127252,128015,,123371,,,,,,,,,,,177849,,,,,,,,,,,,,685367,556668,,,,,,,,,357479,349536,,338424,,,,,,304899,308945,,301431,,,,526105,,,,737927,748353,,,536316,,,632647,413275,,,,,769221,,,632647,,,,,,,,0,16216,30128,457614,389108,358849,443206,443652,359123,369529,424407,,369529
Representative,24,FL,14509,11716,7187,14443,13509,6791,16639,,13572,6656,10040,0,9994,362918,260795,227291,375205,375825,228228,338202,,258005,0,0,226079,0,348480,0,234379,,,,,,,,,235598,217298,,214440,,,,,,192385,198880,,197017,,,,,,,,,,,245539,,,,,,,,,,,,,,,221882,179373,149532,274109,281550,156245,235273,288794,,235273,24,4306,3093,1550,3298,4067,1565,7147,,5601,0,0,1035,0,1179,0,533,1015,4442,0,4210,2803,2244,359,1679,1517,314,948,,792,487,0,111,,,,,,,,,50221,62870,,54794,,,,,,44178,43522,,45112,,,,,,,,,,,83315,,,,,,,,,,,,,717169,553386,,,,,,,,,292327,286521,,271604,,,,,,240310,244145,,242129,,,,481333,,,,783990,784269,,,483698,,,611792,331306,,,,,769221,,,611792,,,,,,,,0,8255,15770,135449,113971,94623,133968,129840,89679,111522,135526,,111522
Representative,25,FL,35166,25755,23026,46156,46700,22631,48563,,36550,20821,35543,0,30170,118600,83791,81661,140107,148862,87626,142336,,106416,0,0,78814,0,121525,0,88468,,,,,,,,,209081,192800,,192304,,,,,,171465,176900,,174309,,,,,,,,,,,229483,,,,,,,,,,,,,,,247120,183367,185360,313990,319799,192546,256630,331599,,256630,25,4756,3235,2427,6244,6497,2237,9998,,7642,0,0,1325,0,1582,0,967,2318,4350,0,4615,1431,1092,517,1919,1642,413,1404,,1079,466,0,227,,,,,,,,,114301,126277,,114049,,,,,,97718,99076,,94211,,,,,,,,,,,152885,,,,,,,,,,,,,696790,533452,,,,,,,,,333580,326781,,310284,,,,,,273703,278225,,268520,,,,509600,,,,768053,773252,,,517166,,,607264,385464,,,,,769221,,,607264,,,,,,,,0,18387,17579,304064,245640,214573,279423,271597,209438,208608,250270,,208608
Representative,26,FL,8904,6711,4700,10451,9991,4753,12322,,9479,4170,7564,0,6994,60556,44768,26834,57248,56065,26684,56007,,43160,0,0,26509,0,40941,0,28452,,,,,,,,,128995,102192,,104540,,,,,,85954,91415,,92642,,,,,,,,,,,126819,,,,,,,,,,,,,,,497999,390505,292744,570466,575346,304045,456512,561193,,456512,26,2822,2024,722,1683,2325,856,7040,,5428,0,0,354,0,630,0,429,440,899,0,1588,910,707,25,245,581,29,639,,468,29,0,61,,,,,,,,,119866,143644,,130682,,,,,,111568,111427,,113896,,,,,,,,,,,184117,,,,,,,,,,,,,679976,530367,,,,,,,,,256316,251727,,238217,,,,,,201415,205514,,206539,,,,435322,,,,763325,769914,,,446784,,,623498,313108,,,,,769221,,,623498,,,,,,,,0,3358,6739,128743,101227,109912,138788,141151,109797,122723,149228,,122723
Representative,27,FL,16312,13178,8598,19403,21453,9368,20431,,16646,7782,15445,0,12750,57912,44197,31329,57052,55714,30646,55568,,44946,0,0,30557,0,39900,0,30264,,,,,,,,,175488,145192,,151015,,,,,,129975,136895,,140413,,,,,,,,,,,178088,,,,,,,,,,,,,,,511019,417774,327137,576725,573022,331470,471763,566370,,471763,27,2434,1841,978,3540,3409,881,6802,,5443,0,0,410,0,581,0,237,613,2174,0,2643,721,533,40,672,548,25,720,,583,44,0,106,,,,,,,,,122285,152341,,133960,,,,,,115148,117658,,117238,,,,,,,,,,,179237,,,,,,,,,,,,,713583,576315,,,,,,,,,308242,304099,,288322,,,,,,249902,257284,,257651,,,,461621,,,,768673,770796,,,467146,,,636002,360039,,,,,769221,,,636002,,,,,,,,0,7517,10893,141222,111402,93021,128675,132113,93839,107346,132078,,107346
Representative,28,FL,14376,10993,7946,15657,16077,8026,17323,,13602,7537,12499,0,10026,79902,54703,45457,85000,84160,45657,86320,,62852,0,0,44284,0,66468,0,48525,,,,,,,,,158628,132762,,134250,,,,,,113202,119780,,122142,,,,,,,,,,,159437,,,,,,,,,,,,,,,466939,357208,310783,544076,536749,315109,446828,559429,,446828,28,2868,2118,753,3435,3623,788,9073,,6988,0,0,378,0,411,0,459,613,3270,0,2230,967,748,120,884,863,114,782,,582,229,0,137,,,,,,,,,114666,138989,,125191,,,,,,104495,105682,,106363,,,,,,,,,,,181179,,,,,,,,,,,,,673538,512504,,,,,,,,,283234,278702,,263075,,,,,,222588,228189,,228505,,,,456145,,,,751414,753600,,,464696,,,609131,343198,,,,,769221,,,609131,,,,,,,,0,6055,8155,123704,97358,90471,120151,127918,94265,92771,116007,,92771
Representative,1,GA,14911,10574,8412,19563,20723,8653,23547,,17615,6946,13393,0,13909,216466,150384,164399,233787,237349,166349,230783,,166025,0,0,160919,0,218280,0,155810,,,,,,,,,110607,92414,,116585,,,,,,106562,108453,103089,,,,,,,,,,,,144348,,139195,137742,,,,,,131259,131464,,,,,39744,25622,23760,50749,52106,25016,39938,59328,,39938,1,6620,4676,4014,7690,7899,4505,15972,,11791,0,0,1755,0,2028,0,1503,1402,2219,0,2197,1957,1133,452,2313,2307,392,2682,,1718,969,0,851,,,,,,,,,155973,154816,,163321,,,,,,145829,147023,143160,,,,,,,,,,,,189659,,187091,184809,,,,,,168460,168255,,,700148,524857,,,,,,,,,274027,257234,,284485,,,,,,252391,257794,246249,,,,,550545,,,,745842,752343,,,557429,,,589266,338540,,334338,330969,,765137,,,589266,,,,299719,299719,,,0,21304,19111,427824,336338,348766,441479,442042,351711,355947,440636,,355947
Representative,2,GA,11806,8403,5837,13439,14579,6650,15236,,11125,4598,10108,0,8281,389952,274881,279940,390558,389064,280170,393195,,289612,0,0,277536,0,373404,0,279765,,,,,,,,,150531,128560,,150513,,,,,,140621,144089,133121,,,,,,,,,,,,173868,,167147,167985,,,,,,158704,159203,,,,,36698,24062,17438,41358,41571,17750,30074,45499,,30074,2,6217,4463,3514,5992,6559,3994,12189,,9075,0,0,1420,0,1639,0,1331,1180,1529,0,1634,1668,1070,393,1581,1903,454,1946,,1286,647,0,547,,,,,,,,,124987,125729,,127414,,,,,,116072,117496,113966,,,,,,,,,,,,140913,,140652,138111,,,,,,124160,123862,,,775170,578356,,,,,,,,,280721,261408,,280872,,,,,,256693,262986,247087,,,,,559545,,,,755493,751777,,,559300,,,587555,317651,,313768,311868,,765137,,,587555,,,,282864,283065,,,0,15484,14876,336615,269968,251520,311550,307403,249585,251047,305611,,251047
Representative,3,GA,13621,8970,8047,18640,19664,8992,21220,,14933,6522,13891,0,12209,158139,108893,125790,180268,181650,126798,188947,,136708,0,0,123788,0,170848,0,128981,,,,,,,,,97676,83289,,105815,,,,,,98783,98272,93846,,,,,,,,,,,,132203,,126318,128084,,,,,,120703,122079,,,,,34060,21635,18477,40911,42065,18727,31274,48285,,31274,3,5882,4191,3321,6559,6901,3583,16477,,12255,0,0,1225,0,1471,0,1287,1062,4050,0,2232,865,540,502,1407,1404,433,1082,,694,413,0,234,,,,,,,,,210579,206614,,218414,,,,,,197665,200720,196662,,,,,,,,,,,,248167,,246751,243667,,,,,,221813,220426,,,707704,524333,,,,,,,,,317474,302702,,329845,,,,,,296448,302020,290508,,,,,548172,,,,745221,750416,,,553442,,,586319,385087,,381729,379439,,765136,,,586319,,,,342516,342505,,,0,16633,18253,499198,382444,391181,501663,501037,393616,391849,492494,,391849
Representative,4,GA,37923,28667,19050,48999,50617,19278,53781,,39718,17739,43602,0,35923,369940,262867,291632,415864,426090,300722,423763,,321379,0,0,287630,0,406313,0,305291,,,,,,,,,222980,195079,,237281,,,,,,224267,231475,219848,,,,,,,,,,,,279069,,270681,272419,,,,,,263025,264887,,,,,75560,51268,18809,72388,71059,20367,59670,88947,,59670,4,6932,4909,3535,14296,15807,3455,13509,,10031,0,0,1103,0,1395,0,932,1484,2586,0,3438,1036,693,169,1290,1699,204,1106,,793,633,0,221,,,,,,,,,66892,81667,,70845,,,,,,66086,62020,63779,,,,,,,,,,,,73410,,75468,73306,,,,,,68786,66961,,,688634,515326,,,,,,,,,298597,287286,,313183,,,,,,290353,295960,283627,,,,,503528,,,,743841,751154,,,512158,,,589470,356387,,353328,352683,,765135,,,589470,,,,331811,331848,,,0,20068,17451,209412,174552,170180,208468,205490,168078,166544,197536,,166544
Representative,5,GA,24463,20815,17365,35267,38810,19404,39932,,33476,15215,31074,0,28127,369875,278429,301388,404186,404195,302575,392822,,308271,0,0,297428,0,386746,0,293005,,,,,,,,,250154,210516,,260696,,,,,,245889,258321,243731,,,,,,,,,,,,305942,,293416,294284,,,,,,284438,287434,,,,,45437,31399,18254,42271,45774,20051,41432,56496,,41432,5,5304,4081,2960,8793,9279,2950,10732,,8361,0,0,1107,0,1501,0,999,1542,2928,0,2985,751,553,107,911,1340,202,1096,,866,183,0,243,,,,,,,,,49348,75755,,59201,,,,,,56809,48534,53184,,,,,,,,,,,,59744,,66032,63356,,,,,,62300,59386,,,665892,525502,,,,,,,,,310148,298742,,325699,,,,,,302698,309664,296915,,,,,563137,,,,747811,760618,,,575931,,,621515,370083,,367159,365815,,765137,,,621515,,,,346738,346820,,,0,18783,19072,229237,196563,222653,267551,273637,228908,235652,273819,,235652
Representative,6,GA,46549,31483,29910,81243,88410,32750,105113,,70556,27878,78884,0,65747,60170,41544,48636,78225,80812,51281,78871,,56969,0,0,46616,0,67854,0,49480,,,,,,,,,113676,88436,,129429,,,,,,117492,121049,116265,,,,,,,,,,,,174316,,161820,161498,,,,,,154513,157590,,,,,59261,38045,25769,68396,68386,27956,52353,78299,,52353,6,4488,3042,2993,5330,4660,2582,14224,,10188,0,0,990,0,985,0,812,1361,3688,0,3598,890,550,108,1010,999,56,1073,,731,84,0,210,,,,,,,,,201677,215943,,213421,,,,,,194605,190973,192816,,,,,,,,,,,,235820,,241402,237446,,,,,,225302,222035,,,632038,459677,,,,,,,,,330560,321903,,351632,,,,,,312097,316694,309081,,,,,483692,,,,732338,744413,,,496961,,,574797,416668,,413691,409810,,765136,,,574797,,,,379815,379625,,,0,21871,19626,464129,346706,375436,502986,502658,380681,382971,487400,,382971
Representative,7,GA,85582,60986,50708,104480,108359,52243,118444,,89868,48775,99150,0,84873,172253,111855,137893,222810,233802,145315,239717,,169071,0,0,135561,0,211396,0,155029,,,,,,,,,142925,120673,,160446,,,,,,148137,151857,144725,,,,,,,,,,,,203134,,195912,193639,,,,,,187545,189086,,,,,136141,85887,44200,164341,162671,49962,120604,181851,,120604,7,7326,4542,2868,7504,7740,2675,16584,,11762,0,0,1295,0,1436,0,894,1890,4011,0,3340,1228,762,183,1535,1532,29,1355,,909,46,0,223,,,,,,,,,106635,115321,,109426,,,,,,99254,96558,96950,,,,,,,,,,,,118938,,119824,116091,,,,,,107037,105365,,,658838,466957,,,,,,,,,259170,247759,,275727,,,,,,247391,251389,241675,,,,,433265,,,,737153,746976,,,446115,,,566934,326190,,323948,317565,,765137,,,566934,,,,294582,294451,,,0,19747,16133,269400,209970,196277,250230,248521,194886,185838,225905,,185838
Representative,8,GA,11962,8443,7074,15453,15562,6943,16478,,11877,6186,11258,0,9389,221752,156445,171490,238925,242937,174809,241628,,175967,0,0,169467,0,231652,0,168984,,,,,,,,,93873,79070,,96999,,,,,,90803,92281,86415,,,,,,,,,,,,117855,,112416,112617,,,,,,106483,106996,,,,,44126,27738,18894,51421,52741,21517,35732,54850,,35732,8,5342,3860,2899,5559,6068,3338,12877,,9554,0,0,1335,0,1637,0,1172,1095,1089,0,1473,888,596,115,1099,1125,465,1268,,841,470,0,272,,,,,,,,,179794,175052,,187009,,,,,,173536,176988,170797,,,,,,,,,,,,209131,,207764,204901,,,,,,185419,184993,,,743530,558285,,,,,,,,,279771,262318,,287451,,,,,,264339,271017,257212,,,,,561334,,,,758622,763152,,,567112,,,585857,330378,,326704,323679,,765136,,,585857,,,,291902,291989,,,0,13622,14263,463695,363798,360066,452692,450680,359560,354572,443123,,354572
Representative,9,GA,30621,21115,20515,41132,43226,20752,51420,,38220,19213,38479,0,35208,62889,42002,53937,84745,85950,54838,87130,,61747,0,0,52487,0,73740,0,55534,,,,,,,,,74464,63314,,84961,,,,,,78041,77686,75500,,,,,,,,,,,,112811,,106842,105624,,,,,,100898,102316,,,,,89264,53569,34103,108180,115376,38732,76361,117758,,76361,9,6336,4508,3893,6468,7286,4349,18937,,13976,0,0,1026,0,1094,0,1229,934,1657,0,2044,930,590,95,880,928,55,1007,,649,73,0,202,,,,,,,,,206635,200162,,217499,,,,,,195310,197721,193632,,,,,,,,,,,,253334,,251655,250520,,,,,,226227,224708,,,675737,502042,,,,,,,,,290605,277147,,308493,,,,,,273351,278605,269132,,,,,517586,,,,744567,753390,,,526824,,,592520,370911,,367814,364048,,765137,,,592520,,,,327125,327024,,,0,16562,17331,490690,383073,404299,506942,506408,407618,404611,495078,,404611
Representative,10,GA,15561,11237,9038,19070,20542,10085,22625,,16567,7716,15670,0,13543,146300,101865,120194,169992,176069,122964,184137,,133097,0,0,117955,0,164617,0,125655,,,,,,,,,102371,88163,,113388,,,,,,105705,106832,102158,,,,,,,,,,,,142239,,136356,137337,,,,,,129768,131095,,,,,38784,24029,18740,48971,52291,22053,38336,58645,,38336,10,4698,3396,2673,4850,5584,3047,15352,,11556,0,0,562,0,469,0,1106,1027,1916,0,2690,814,522,213,1101,1077,183,1122,,731,229,0,197,,,,,,,,,189254,187561,,201038,,,,,,183514,185494,181385,,,,,,,,,,,,230726,,229890,227652,,,,,,206076,204763,,,666625,500076,,,,,,,,,300847,288030,,319970,,,,,,289219,294948,283543,,,,,532602,,,,722382,735210,,,543279,,,588874,377811,,374998,372643,,765135,,,588874,,,,335844,335858,,,0,15606,17524,464103,361195,381057,482428,484415,384651,389823,486487,,389823
Representative,11,GA,23850,17121,13917,32324,35077,15818,36270,,26907,12242,28561,0,22744,114310,79274,92527,137024,144653,97338,143404,,106811,0,0,89708,0,127745,0,96710,,,,,,,,,109108,91505,,123174,,,,,,113828,115634,112507,,,,,,,,,,,,159077,,150694,151374,,,,,,141174,143553,,,,,74834,47320,29888,86088,87680,33165,66802,99794,,66802,11,6228,4433,5146,9769,9687,5650,18608,,13697,0,0,1121,0,1042,0,1192,989,4402,0,4437,950,641,211,1117,1540,214,1080,,783,405,0,226,,,,,,,,,185196,190247,,192989,,,,,,173706,172361,172448,,,,,,,,,,,,217643,,218554,215621,,,,,,198012,195609,,,665838,495364,,,,,,,,,307552,298653,,324288,,,,,,287534,292032,284955,,,,,513448,,,,733591,747709,,,527903,,,595201,383028,,379853,377185,,765137,,,595201,,,,339186,339162,,,0,24090,22195,451404,349617,371218,474023,473785,375436,380895,469264,,380895
