Merge Index,index,Candidate,State,Office,District,Party,Candidate_processed,Last_name,District_processed,State_processed,FEC_index,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ID,Committee_ID_Grabbed
62,62,Tony Vargas,Nebraska,Representative,2,DEM,Tony Vargas,VARGAS,2,NE,1722,"VARGAS, ANTHONY 'TONY'",DEM,H2NE02132,
63,63,David J. Else,Nebraska,Representative,3,DEM,David J. Else,ELSE,3,NE,NA,NA,NA,H0NE03217,
64,64,Charles Booker,Kentucky,Senator,N/A,DEM,Charles Booker,BOOKER,0,KY,3486,"BOOKER, CHARLES",DEM,S0KY00420,
65,65,Jimmy C. Ausbrooks,Kentucky,Representative,1,DEM,Jimmy C. Ausbrooks,AUSBROOKS,1,KY,1118,"AUSBROOKS, JIMMY CLIFTON",DEM,H2KY01085,
66,66,Hank Linderman,Kentucky,Representative,2,DEM,Hank Linderman,LINDERMAN,2,KY,1122,"LINDERMAN, HANK",DEM,H8KY02080,
67,67,Morgan McGarvey,Kentucky,Representative,3,DEM,Morgan McGarvey,MCGARVEY,3,KY,1128,"MCGARVEY, MORGAN",DEM,H2KY03206,
68,68,Matthew Lehman,Kentucky,Representative,4,DEM,Matthew Lehman,LEHMAN,4,KY,1136,"LEHMAN, MATTHEW",DEM,H2KY04212,
69,69,Conor Halbleib,Kentucky,Representative,5,DEM,Conor Halbleib,HALBLEIB,5,KY,1140,"HALBLEIB, CONOR",DEM,H2KY05177,
70,70,"Geoffrey M. ""Geoff"" Young",Kentucky,Representative,6,DEM,"Geoffrey M. ""Geoff"" Young",YOUNG,6,KY,1146,"YOUNG, GEOFFREY M",DEM,H4KY06163,
71,71,Ron Wyden,Oregon,Senator,N/A,DEM,Ron Wyden,WYDEN,0,OR,3736,"WYDEN, RONALD LEE",DEM,S6OR00110,
72,72,Suzanne Bonamici,Oregon,Representative,1,DEM,Suzanne Bonamici,BONAMICI,1,OR,2271,"BONAMICI, SUZANNE MS.",DEM,H2OR01133,
73,73,Joe Yetter,Oregon,Representative,2,DEM,Joe Yetter,YETTER,2,OR,2275,"YETTER, JOSEPH FREDERICK III",DEM,H2OR02156,
74,74,Earl Blumenauer,Oregon,Representative,3,DEM,Earl Blumenauer,BLUMENAUER,3,OR,2280,"BLUMENAUER, EARL",DEM,H6OR03064,
75,75,Val Hoyle,Oregon,Representative,4,DEM,Val Hoyle,HOYLE,4,OR,2283,"HOYLE, VALERIE",DEM,H2OR04095,
76,76,Jamie McLeod-Skinner,Oregon,Representative,5,DEM,Jamie McLeod-Skinner,MCLEOD-SKINNER,5,OR,2295,"MCLEOD-SKINNER, JAMIE",DEM,H8OR02161,
77,77,Andrea Salinas,Oregon,Representative,6,DEM,Andrea Salinas,SALINAS,6,OR,2306,"SALINAS, ANDREA",DEM,H2OR06066,
78,78,David Roth,Idaho,Senator,N/A,DEM,David Roth,ROTH,0,ID,3433,"ROTH, DAVID JORDAN",DEM,S2ID00178,
79,79,Kaylee Peterson,Idaho,Representative,1,DEM,Kaylee Peterson,PETERSON,1,ID,881,"PETERSON, KAYLEE JADE",DEM,H2ID01192,
80,80,Wendy Norman,Idaho,Representative,2,DEM,Wendy Norman,NORMAN,2,ID,888,"NORMAN, WENDY ANN",DEM,H2ID02216,
81,81,Cheri Beasley,North Carolina,Senator,N/A,DEM,Cheri Beasley,BEASLEY,0,NC,3590,"BEASLEY, CHERI",DEM,S2NC00497,
82,82,Don Davis,North Carolina,Representative,1,DEM,Don Davis,DAVIS,1,NC,1579,"DAVIS, DON",DEM,H2NC02287,
83,83,Deborah K. Ross,North Carolina,Representative,2,DEM,Deborah K. Ross,ROSS,2,NC,1588,"ROSS, DEBORAH",DEM,H0NC02125,
84,84,Barbara D. Gaskins,North Carolina,Representative,3,DEM,Barbara D. Gaskins,GASKINS,3,NC,1599,"GASKINS, BARBARA D MS.",DEM,H2NC03095,
85,85,Valerie P. Foushee,North Carolina,Representative,4,DEM,Valerie P. Foushee,FOUSHEE,4,NC,1608,"FOUSHEE, VALERIE",DEM,H2NC06114,
86,86,Kyle Parrish,North Carolina,Representative,5,DEM,Kyle Parrish,PARRISH,5,NC,1621,"PARRISH, BERNARD KYLE",DEM,H2NC07203,
87,87,Kathy Manning,North Carolina,Representative,6,DEM,Kathy Manning,MANNING,6,NC,1628,"MANNING, KATHY",DEM,H8NC13067,
88,88,Charles Graham,North Carolina,Representative,7,DEM,Charles Graham,GRAHAM,7,NC,1641,"GRAHAM, CHARLES",DEM,H2NC09183,
89,89,Scott Huffman,North Carolina,Representative,8,DEM,Scott Huffman,HUFFMAN,8,NC,1645,"HUFFMAN, SCOTT",DEM,H8NC08109,
90,90,Ben Clark,North Carolina,Representative,9,DEM,Ben Clark,CLARK,9,NC,NA,NA,NA,H2NC04150,
91,91,Pam Genant,North Carolina,Representative,10,DEM,Pam Genant,GENANT,10,NC,1658,"GENANT, PAMELA",DEM,H2NC13235,
92,92,Jasmine Beach-Ferrara,North Carolina,Representative,11,DEM,Jasmine Beach-Ferrara,BEACH-FERRARA,11,NC,1663,"BEACH-FERRARA, JASMINE",DEM,H2NC11155,
93,93,Alma S. Adams,North Carolina,Representative,12,DEM,Alma S. Adams,ADAMS,12,NC,1681,"ADAMS, ALMA SHEALEY",DEM,H4NC12100,
94,94,Wiley Nickel,North Carolina,Representative,13,DEM,Wiley Nickel,NICKEL,13,NC,1689,"NICKEL, WILEY",DEM,H2NC14019,
95,95,Jeff Jackson,North Carolina,Representative,14,DEM,Jeff Jackson,JACKSON,14,NC,1705,"JACKSON, JEFF",DEM,H2NC14076,
96,96,John Fetterman,Pennsylvania,Senator,N/A,DEM,John Fetterman,FETTERMAN,0,PA,3755,"FETTERMAN, JOHN KARL",DEM,S6PA00274,
97,97,Ashley Ehasz,Pennsylvania,Representative,1,DEM,Ashley Ehasz,EHASZ,1,PA,2320,"EHASZ, ASHLEY",DEM,H2PA01099,
98,98,Brendan F. Boyle,Pennsylvania,Representative,2,DEM,Brendan F. Boyle,BOYLE,2,PA,2327,"BOYLE, BRENDAN F",DEM,H4PA13199,
99,99,Dwight Evans,Pennsylvania,Representative,3,DEM,Dwight Evans,EVANS,3,PA,2331,"EVANS, DWIGHT",DEM,H6PA02171,
100,100,Madeleine Dean,Pennsylvania,Representative,4,DEM,Madeleine Dean,DEAN,4,PA,2333,"DEAN, MADELEINE",DEM,H8PA04116,
101,101,Mary Gay Scanlon,Pennsylvania,Representative,5,DEM,Mary Gay Scanlon,SCANLON,5,PA,2341,"SCANLON, MARY GAY",DEM,H8PA07200,
102,102,Chrissy Houlahan,Pennsylvania,Representative,6,DEM,Chrissy Houlahan,HOULAHAN,6,PA,2344,"HOULAHAN, CHRISSY",DEM,H8PA06087,
103,103,Susan Wild,Pennsylvania,Representative,7,DEM,Susan Wild,WILD,7,PA,2353,"WILD, SUSAN",DEM,H8PA15229,
104,104,Matt Cartwright,Pennsylvania,Representative,8,DEM,Matt Cartwright,CARTWRIGHT,8,PA,2361,"CARTWRIGHT, MATTHEW A.",DEM,H2PA17079,
105,105,Amanda R. Waldman,Pennsylvania,Representative,9,DEM,Amanda R. Waldman,WALDMAN,9,PA,2366,"WALDMAN, AMANDA",DEM,H2PA09126,
106,106,Shamaine Daniels,Pennsylvania,Representative,10,DEM,Shamaine Daniels,DANIELS,10,PA,2373,"DANIELS, SHAMAINE MS",DEM,H2PA10124,
107,107,Bob Hollister,Pennsylvania,Representative,11,DEM,Bob Hollister,HOLLISTER,11,PA,2377,"HOLLISTER, ROBERT MICHAEL III",DEM,H2PA11114,
108,108,Summer Lee,Pennsylvania,Representative,12,DEM,Summer Lee,LEE,12,PA,2383,"LEE, SUMMER",DEM,H2PA18200,
109,109,Dan Pastore,Pennsylvania,Representative,16,DEM,Dan Pastore,PASTORE,16,PA,2399,"PASTORE, DANIEL",DEM,H2PA16097,
110,110,Chris Deluzio,Pennsylvania,Representative,17,DEM,Chris Deluzio,DELUZIO,17,PA,2402,"DELUZIO, CHRISTOPHER",DEM,H2PA17103,
111,111,Taysha DeVaughan,Virginia,Representative,9,DEM,Taysha DeVaughan,DEVAUGHAN,9,VA,2982,"DEVAUGHAN, TAYSHA",DEM,H2VA09085,
112,112,Will Boyd,Alabama,Senator,N/A,DEM,Will Boyd,BOYD,0,AL,3257,"BOYD, WILLIE EUGENE DR. JR.",DEM,S2AL00251,
113,113,Phyllis Harvey-Hall,Alabama,Representative,2,DEM,Phyllis Harvey-Hall,HARVEY-HALL,2,AL,NA,NA,NA,H0AL02202,
114,114,Lin Veasey,Alabama,Representative,3,DEM,Lin Veasey,VEASEY,3,AL,NA,NA,NA,H2AL03131,
115,115,Rick Neighbors,Alabama,Representative,4,DEM,Rick Neighbors,NEIGHBORS,4,AL,NA,NA,NA,H8AL04086,
116,116,Kathy Warner-Stanton,Alabama,Representative,5,DEM,Kathy Warner-Stanton,WARNER-STANTON,5,AL,NA,NA,NA,H2AL05177,
117,117,Terrycina Sewell,Alabama,Representative,7,DEM,Terrycina Sewell,SEWELL,7,AL,NA,NA,NA,H0AL07086,
118,118,Natalie James,Arkansas,Senator,N/A,DEM,Natalie James,JAMES,0,AR,3274,"JAMES, NATALIE",DEM,S2AR00115,
119,119,Monte Hodges,Arkansas,Representative,1,DEM,Monte Hodges,HODGES,1,AR,NA,NA,NA,H2AR01113,
120,120,Quintessa Hathaway,Arkansas,Representative,2,DEM,Quintessa Hathaway,HATHAWAY,2,AR,NA,NA,NA,H2AR02095,
121,121,Lauren Mallett-Hays,Arkansas,Representative,3,DEM,Lauren Mallett-Hays,MALLETT-HAYS,3,AR,NA,NA,NA,NA,C00777144
122,122,John White,Arkansas,Representative,4,DEM,John White,WHITE,4,AR,NA,NA,NA,H2AR04158,
123,123,Raphael Warnock,Georgia,Senator,N/A,DEM,Raphael Warnock,WARNOCK,0,GA,3387,"WARNOCK, RAPHAEL",DEM,S0GA00559,
124,124,Wade Herring,Georgia,Representative,1,DEM,Wade Herring,HERRING,1,GA,697,"HERRING, WADE WILKES MR. II",DEM,H2GA01249,
125,125,Sanford Bishop,Georgia,Representative,2,DEM,Sanford Bishop,BISHOP,2,GA,703,"BISHOP, SANFORD",DEM,H2GA02031,
126,126,Val Almonord,Georgia,Representative,3,DEM,Val Almonord,ALMONORD,3,GA,712,"ALMONORD, VALBRUN DR.",DEM,H0GA03074,
127,127,"Henry C. ""Hank"" Johnson Jr.",Georgia,Representative,4,DEM,"Henry C. ""Hank"" Johnson Jr.",JR.,4,GA,NA,NA,NA,H6GA04129,
128,128,Nikema Williams,Georgia,Representative,5,DEM,Nikema Williams,WILLIAMS,5,GA,719,"WILLIAMS, NIKEMA NATASSHA",DEM,H0GA05301,
129,129,Bob Christian,Georgia,Representative,6,DEM,Bob Christian,CHRISTIAN,6,GA,728,"CHRISTIAN, ROBERT FRANKLIN MR. III",DEM,H2GA06222,
130,130,Lucy McBath,Georgia,Representative,7,DEM,Lucy McBath,MCBATH,7,GA,754,"MCBATH, LUCIA KAY MS.",DEM,H8GA06393,
131,131,Darrius Butler,Georgia,Representative,8,DEM,Darrius Butler,BUTLER,8,GA,763,"BUTLER, DARRIUS MAURICE",DEM,H2GA08095,
132,132,"Michael ""Mike"" Ford",Georgia,Representative,9,DEM,"Michael ""Mike"" Ford",FORD,9,GA,768,"FORD, MICHAEL C. MR.",DEM,H2GA09234,
