"","Candidate","State","State_processed","District","Party","GOP.Num","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Senator.Num","Trump.Num","Party.Committee.Num","Emily.s.List.Num","Maggie.s.List.Num","Sanders.Num","Renew.America.Num","Winner.Num","2020.White.%","Pres_2020","Comp","Dem-Rep.2020","Dem-Rep.Comp","total_fundraised_sum"
"123","Cameron Parsons","Tennessee","TN","1","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878747862596712,0.220419509729593,0.22327631607425,-0.542374645081687,-0.536107724383716,0
"124","Carl J. Marlinga","Michigan","MI","10","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727534706366467,0.488494261671502,0.495294837471865,-0.0097899397202143,0.0163040318494791,534218.35
"125","Carla Spalding","Florida","FL","25","GOP",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325355132010177,0.396625884648112,0.367563264622088,0.198716352240417,0.252204432068685,400435.84
"126","Carlos A. Gimenez","Florida","FL","28","GOP",0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.150811015299894,0.527913915582259,0.475875700845766,-0.0633511850302158,0.0344350470398175,267285.21
"127","Carmen Maria Montiel","Texas","TX","18","GOP",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.166841158976619,0.25051361974292,0.244290709290709,0.485479606702167,0.491523476523476,74651.3
"128","Carol Miller","West Virginia","WV","1","GOP",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.898782122318978,0.696738975383111,0.649189904111099,-0.409031626997066,-0.320219332084206,255722.73
"129","Caroline Colarusso","Massachusetts","MA","5","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645706509145424,0.234931409702921,0.297074611840544,0.508760099432914,0.385371057275148,0
"130","Cassy Garcia","Texas","TX","28","GOP",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.172314524235743,0.457991449906559,0.42697087290682,0.0703578045670011,0.125009437238588,854007.93
"131","Catalina Lauf","Illinois","IL","11","GOP",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.62977774298539,0.412968556534358,0.434226578859519,0.15300068086762,0.0839428241934994,672347.35
"132","Catherine Cortez Masto","Nevada","NV","N/A","DEM",1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0.459300898598022,0.50056781957284,0.487670780231027,0.0239053463272462,0.0274083626667646,21133739.58
"133","Cathy McMorris Rodgers","Washington","WA","5","GOP",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.787216194695633,0.531466741923449,0.547182415863524,-0.0989706402885269,-0.11016155180982,1447842.98
"134","Charles Booker","Kentucky","KY","N/A","DEM",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.813337192032733,0.361740646874924,0.396747624933413,-0.259512343146786,-0.187425766311113,1736092.36
"135","Charles E. Schumer","New York","NY","N/A","DEM",1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.524665925359368,0.607591783975748,0.632488082028373,0.230865453086234,0.288559321425649,2796204.69
"136","Charles Graham","North Carolina","NC","7","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614493523283057,0.429717794054287,0.435335097279533,-0.127193411930594,-0.107346100943921,32300
"137","Charlotte Bergmann","Tennessee","TN","9","GOP",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253205290992888,0.250908112001063,0.254210879012001,0.482150660937724,0.468835178569226,25791.7
"138","Chellie Pingree","Maine","ME","1","DEM",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.894474139690155,0.599868882642991,0.536813192465563,0.228053534937894,0.129010770829261,61000
"139","Cheri Beasley","North Carolina","NC","N/A","DEM",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.604647322237664,0.485847757090783,0.483199789264046,-0.0135092964768635,-0.0110795501385543,18180455.1600002
"140","Chip Roy","Texas","TX","21","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.588614930891919,0.590800879306538,0.609716757215961,-0.196915227554165,-0.242497036699012,514778.79
"141","Chris Chaffee","Maryland","MD","N/A","GOP",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.471697642824673,0.321502139591732,0.367505902704724,0.33210493943421,0.23581753434478,0
"142","Chris Dargis","Illinois","IL","8","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544271617682376,0.413671965157651,0.413348346811342,0.154107854216062,0.128160507728529,140902.46
"143","Chris Deluzio","Pennsylvania","PA","17","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.81902272822358,0.523041109634493,0.537834521001783,0.058333259991375,0.100213628811103,1399047.18
"144","Chris Palombi","Maryland","MD","5","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437277396884492,0.307382563143481,0.364474130963219,0.362622971154855,0.244634342013936,3005
"145","Chris Pappas","New Hampshire","NH","1","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.872702406049097,0.52160476986493,0.440742565871537,0.0592760876790063,-0.090472303925343,1769508.48
"146","Chris Stewart","Utah","UT","2","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.707532913398149,0.559948474850105,0,-0.16919243606433,0,222730.19
"147","Chris Van Hollen","Maryland","MD","N/A","DEM",1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.471697642824673,0.653607079025943,0.603323437049505,0.33210493943421,0.23581753434478,578284.11
"148","Chris West","Georgia","GA","2","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399419973155134,0.443609495956254,0.453637244011507,0.10374593500414,0.0822403087527415,557357.24
"149","Chrissy Houlahan","Pennsylvania","PA","6","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.692323079658606,0.56755504279363,0.550820841658794,0.14714202271707,0.124691017420069,981796.27
"150","Christian Castelli","North Carolina","NC","6","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513471106521652,0.431183869849748,0.426468553793764,0.123784428452019,0.125925827391721,383329.96
"151","Christian Nascimento","Pennsylvania","PA","4","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761329123440084,0.399867784804446,0.396803189193307,0.189295384945417,0.187316862605693,103771.18
"152","Christian Zimm","Georgia","GA","5","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357869244331407,0.161434056684582,0.181765986386203,0.665250768070946,0.618654033325248,20015
"153","Christina Bohannan","Iowa","IA","1","DEM",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8338331761921,0.475169252764812,0.470153357204684,-0.0288325413845787,-0.0301110517689092,1631170.11
"154","Christine Alexandria Olivo","Florida","FL","26","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19399886378557,0.4050327682461,0.438843575395543,-0.182997559947366,-0.109740278821411,6804.19
"155","Christine E. Villaverde","North Carolina","NC","2","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569894765922237,0.347163845386151,0.359043841357405,0.286523107630892,0.256353912276498,69650
"156","Christopher A. Mann","Oregon","OR","1","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655144581844751,0.288527276037137,0.298127558373381,0.389844050243735,0.355673492648872,0
"157","Christopher H. Smith","New Jersey","NJ","4","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.804638995871762,0.605929041765375,0.623469599501971,-0.224750041970565,-0.263391930750304,304264
"158","Christopher J. Gonzales","California","CA","46","GOP",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.148191166552057,0.337143262814142,0.323813992284433,0.304064713584804,0.332452299030341,13273.99
"159","Christy Smith","California","CA","27","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3376162646157,0.550877521905091,0.537270333353283,0.123629375525473,0.0944476030881561,1876836.8
"160","Chuck Edwards","North Carolina","NC","11","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.821938897985841,0.542812992225421,0.53626742165571,-0.101349644794063,-0.0972234710864308,866410.51
"161","Chuck Fleischmann","Tennessee","TN","3","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.778081214162275,0.650471772630007,0.644153888280394,-0.319104996337838,-0.306941401971522,198400
"162","Chuck Grassley","Iowa","IA","N/A","GOP",0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0.826926603160951,0.530893249692023,0.53285199177872,-0.0819760939776009,-0.0943187826568622,2844146.06000001
"163","Cicely Davis","Minnesota","MN","5","GOP",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59939409402898,0.173715207461269,0.176237386874838,0.628846086200572,0.592969199909862,652890.29
"164","Cindy Axne","Iowa","IA","3","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.788439861526097,0.488111263850407,0.471754439474956,-0.00344731800084042,-0.0265464272314789,2539140.27
"165","Claire Gustafson","New Jersey","NJ","1","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595294553634366,0.371042815499961,0.385833743870122,0.244445217581467,0.210751878004566,0
"166","Claudia Andreana Zapata","Texas","TX","21","DEM",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.588614930891919,0.393885651752373,0.367219720516949,-0.196915227554165,-0.242497036699012,31433.28
"167","Claudia Tenney","New York","NY","24","GOP",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.872286095620042,0.573890621795196,0.551713484715526,-0.171792132930932,-0.136556203021728,524337.97
"168","Cliff Moon","Washington","WA","7","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625367206166855,0.111768210221467,0.137499525994464,0.751225175786091,0.712475351712108,1591.18
"169","Cliff S. Bentz","Oregon","OR","2","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.754204491871386,0.607289669121216,0.596337738135193,-0.243168230599926,-0.238169324148288,306747
"170","Colin Allred","Texas","TX","32","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.322197116769906,0.656235994743519,0.62987243719575,0.329544159760572,0.284893223892265,756147.6
"171","Colin J. Schmitt","New York","NY","18","GOP",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.628270553212411,0.449803994052233,0.436394140190298,0.0834949474328876,0.100375117118397,723372.85
"172","Conor Halbleib","Kentucky","KY","5","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937023035448678,0.19704123579103,0.269301344429755,-0.59325543468302,-0.44627337942394,11403.66
"173","Conrad Kress","Hawaii","HI","1","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147718527798236,0.344511944391803,0.305655235938669,0.294313675711819,0.359333921820729,63290.61
"174","Corey Gustafson","California","CA","50","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547556273145343,0.322648002304079,0.352021712739968,0.330987873792097,0.274755927475593,73907.87
"175","Cori Bush","Missouri","MO","1","DEM",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.404270280387437,0.783855648382354,0.77069435514606,0.583752556179617,0.56637641863212,557447.470000001
"176","Corinna Balderramos Robinson","Florida","FL","21","DEM",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.639349419737631,0.448676160979546,0.449676330404566,-0.0942443545805777,-0.0878988047216387,40659.84
"177","Cory Mills","Florida","FL","7","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.614721906968218,0.521016674119388,0.526434768498183,-0.0553076437261148,-0.0779907505588553,255551.19
"178","Courtney Geels","North Carolina","NC","4","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525532742365926,0.31784354939499,0.316452551268647,0.349898362186287,0.347275851716891,157232.22
"179","Craig Swartz","Ohio","OH","5","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838816216010068,0.358250158198728,0.372920432891972,-0.267954610200856,-0.229265402843602,15431
"180","Cynthia ""Cinde"" Wirth","Indiana","IN","6","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809699329795517,0.329748109920056,0.332715336453711,-0.319266757503045,-0.297232859873429,8352.46
"181","Dale Strong","Alabama","AL","5","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.684153623664933,0.624780787779496,0.605092642368204,-0.269899277753421,-0.22588252159266,2158814.66
"182","Dan Bishop","North Carolina","NC","8","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.696128721648019,0.663501822939824,0.652696926026168,-0.340090702371727,-0.327316430848432,552991.61
"183","Dan Crenshaw","Texas","TX","2","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.493501193631704,0.606784792148777,0.626435996142837,-0.227659925686219,-0.273619431599888,2583091.53
"184","Dan Franzese","Florida","FL","22","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506553391747484,0.408094379397049,0.398955826016205,0.175823533893785,0.190108701347132,84767.23
"185","Dan Matthews","Washington","WA","2","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690281561035229,0.369561812316835,0.399618706015658,0.227638308449806,0.18371741079802,28765.42
"186","Dan McQueen","Texas","TX","35","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261828427339707,0.264232270347454,0.258007912966978,0.451312708234174,0.455577295649791,0
"187","Dan Meuser","Pennsylvania","PA","9","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.87562886996904,0.675363547541628,0.642553308352354,-0.365258657678569,-0.310952165899743,273150
"188","Dan Newhouse","Washington","WA","4","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.51092869872904,0.568882064600302,0.589597784778831,-0.168507275765194,-0.192436743285817,409973.6
"189","Dan Pastore","Pennsylvania","PA","16","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870158786191027,0.390290980442298,0.414515566283253,-0.206383669294359,-0.14634822945325,282373.75
"190","Daniel Bocic Martinez","California","CA","31","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149930935396204,0.334458953401283,0.326235705671545,0.310342244944479,0.32754432631696,0
"191","Daniel Goldman","New York","NY","10","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.485996259834666,0.847890302673092,0.862774326443861,0.709627985993135,0.754264115091179,1830194.59
"192","Daniel T. Kildee","Michigan","MI","8","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.734023108010665,0.502572167470469,0.509981177808772,0.0202930966193704,0.0484014678600929,1162145.31
"193","Daniel Webster","Florida","FL","11","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.593807241351965,0.549387153041992,0.569389173328898,-0.108572833378209,-0.154844917499198,149665
"194","Danielle Hawk","Florida","FL","3","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650486661180597,0.423540383403468,0.421289718663569,-0.140660893252831,-0.141637610079278,30759.76
"195","Darin LaHood","Illinois","IL","16","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.848236048068337,0.596194328950818,0.591114201384947,-0.215110312020077,-0.233059938699058,559083.05
"196","Darius Mayfield","New Jersey","NJ","12","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398460815597344,0.321852952621576,0.343130905348906,0.34342166853714,0.29571540625922,154822
"197","Darlene McDonald","Utah","UT","4","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741793657935406,0.344099996702681,0,-0.256020355451018,0,44365.56
"198","Darrell Issa","California","CA","48","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.533005455981081,0.550429203754798,0.582554357075652,-0.123301787645785,-0.184870252686946,494980.94
"199","Darren Soto","Florida","FL","9","DEM",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.300315514007028,0.58097327249404,0.588113115294671,0.173916226870428,0.195961900719005,236288.53
"200","Darrius Butler","Georgia","GA","8","DEM",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579142792915246,0.35672774821568,0.337445338509868,-0.27627747610313,-0.313131629390748,10000
"201","Daryl W. Scott","South Carolina","SC","7","DEM",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638562752067483,0.401774290788365,0.400489072596922,-0.186578788713721,-0.185550673725859,0
"202","David Esrati","Ohio","OH","10","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707460940976062,0.473931290110126,0.454052901781749,-0.0351999060587031,-0.0690731233605125,28586.5
"203","David G. Valadao","California","CA","22","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.157667590927162,0.423500605494062,0.425863212405989,0.128927744375279,0.129527720159731,853547.33
"204","David Galluch","Pennsylvania","PA","5","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581052105859066,0.334302567677859,0.337044257981823,0.322771692963692,0.310579244961588,333357.05
"205","David H. Pinckney","New Jersey","NJ","10","GOP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188068816448103,0.183397775876818,0.179930485882184,0.625163387510693,0.626630356886914,0
"206","David J. Canepa","California","CA","15","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.285335244474072,0.777273167314909,0.77394455933655,0.57347254887445,0.564068016126674,293833.17
"207","David J. Else","Nebraska","NE","3","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813928590546545,0.230773287994242,0.228461613021078,-0.518342475613691,-0.523676381774666,0
"208","David J. Trone","Maryland","MD","6","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.600897351014662,0.535885244235737,0.489434092233213,0.0977049916832022,0.00930572409863872,293076.72
"209","David Kim","California","CA","34","DEM",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.109040061027275,0.809467413574618,0.841514143094842,0.642431635420491,0.703492147234284,0
"210","David Kustoff","Tennessee","TN","8","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.728520806229171,0.679188279592585,0.67912840333587,-0.372699403538781,-0.37523930027118,375662.5
"211","David N. Cicilline","Rhode Island","RI","1","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.638952849776857,0.634864966942114,0.649096139768451,0.289452604579544,0.317915409686248,377701.25
"212","David P. Joyce","Ohio","OH","14","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.859268016729593,0.567996744643437,0.54102889547442,-0.149441212232777,-0.106639030723639,534466
"213","David Roth","Idaho","ID","N/A","DEM",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.788710928026987,0.330943488903827,0.323763005991833,-0.307971695448188,-0.308440069008801,31871.67
"214","David Rouzer","North Carolina","NC","7","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.614493523283057,0.556911205984881,0.542681198223454,-0.127193411930594,-0.107346100943921,271332
"215","David Schweikert","Arizona","AZ","1","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.698901726756866,0.486261491979927,0.509097110785522,0.0147564154099508,-0.0342566106188515,876299
"216","David Scott","Georgia","GA","13","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.163507973081945,0.796806016856972,0.781157045880307,0.603535426979298,0.575863990707106,171575
"217","David Torres","Colorado","CO","5","DEM",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.656024408560732,0.430829954852427,0.388647110910153,-0.101070581241532,-0.172017181936359,0
"218","Dean A. Tran","Massachusetts","MA","3","GOP",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.606535382062778,0.351075372264802,0.406551065840463,0.273022693989246,0.161410930493629,98236
"219","Dean James Martilli","Massachusetts","MA","1","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694153011830706,0.380331849658822,0.420140371557619,0.215844224315364,0.134781353557102,6010
"220","Dean Phillips","Minnesota","MN","3","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.713796646904366,0.592968846766092,0.556215395373352,0.209026226334598,0.161551748430561,866203.5
"221","Debbie Dingell","Michigan","MI","6","DEM",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.691477711722193,0.626821563455691,0.61274092736559,0.266732533583365,0.248525038159796,226783.4
"222","Debbie Wasserman Schultz","Florida","FL","25","DEM",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.325355132010177,0.595342236888529,0.619767696690774,0.198716352240417,0.252204432068685,478527.77
"223","Deborah K. Ross","North Carolina","NC","2","DEM",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.569894765922237,0.633686953017043,0.615397753633902,0.286523107630892,0.256353912276498,575145.45
"224","Delia Ramirez","Illinois","IL","3","DEM",1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0.390790749883571,0.697242345165288,0.678986714180579,0.414333356842752,0.405752023860247,392938.19
"225","Derek Kilmer","Washington","WA","6","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.720667082213641,0.567320080163189,0.557812158181513,0.171020022903768,0.133570581860917,587642.02
"226","Derek Marshall","California","CA","23","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397122875133776,0.438856177719393,0.417702676388498,-0.0982664383400971,-0.146545792855752,386861.01
"227","Derrick Van Orden","Wisconsin","WI","3","GOP",0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.891447993528035,0.513600920266292,0.485238846399445,-0.0466591155050239,0.00361265566638774,2101108.23
"228","Diana DeGette","Colorado","CO","1","DEM",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.544488537010506,0.795106825829476,0.764105586760049,0.612940409585004,0.56448928645725,175809.83
"229","Diana Lynn Harshbarger","Tennessee","TN","1","GOP",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.878747862596712,0.76279415481128,0.759384040457966,-0.542374645081687,-0.536107724383716,299800.47
"230","Dianne Black","Mississippi","MS","1","DEM",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646567223048443,0.334207293320948,0.350124679642585,-0.316893896263446,-0.288529472882178,17816.88
"231","Dina Titus","Nevada","NV","1","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.396430149995218,0.532312474175306,0.526231393317709,0.0852569518535192,0.103222571929922,993747.92
"232","Don Bacon","Nebraska","NE","2","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.678045475470561,0.458393866922957,0.501208025491089,0.0631667342514217,-0.0298641019954792,847953.67
"233","Don Davis","North Carolina","NC","1","DEM",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.474040795526171,0.531121273298259,0.54090221122965,0.0728975488396754,0.0971058363173244,886652.94
"234","Donald C. Bolduc","New Hampshire","NH","N/A","GOP",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.871596169663216,0.454895482021763,0.519741725662635,0.073742929190516,-0.0678748457828442,756245.3
"235","Donald M. Payne Jr.","New Jersey","NJ","10","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.188068816448103,0.808561163387511,0.806560842769098,0.625163387510693,0.626630356886914,404395.5
"236","Donald S. Beyer Jr.","Virginia","VA","8","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.494350797673235,0.767359410115906,0.749547583642032,0.556157672786041,0.520649837071451,534271.36
"237","Donald W. Norcross","New Jersey","NJ","1","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.595294553634366,0.615488033081429,0.596585621874688,0.244445217581467,0.210751878004566,362166
"238","Donnie Dionicio Palmer","Massachusetts","MA","7","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38670109665575,0.13038077115167,0.168460746081966,0.721119744087395,0.645611066146715,0
"239","Doris Matsui","California","CA","7","DEM",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.314004379253944,0.674385853264745,0.668840756243587,0.37171418975057,0.356572837537557,331706
"240","Doug Basler","Washington","WA","9","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406110259898704,0.262879139174595,0.281762125212024,0.447142593761698,0.422533190496231,46323.78
"241","Doug LaMalfa","California","CA","1","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.61508701532087,0.58267113643598,0.601808871268433,-0.189955636870435,-0.224285670305161,242604.99
"242","Doug Lamborn","Colorado","CO","5","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.656024408560732,0.531900536093958,0.560664292846512,-0.101070581241532,-0.172017181936359,84527
"243","Doug White","Washington","WA","4","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51092869872904,0.400374788835108,0.397161041493014,-0.168507275765194,-0.192436743285817,400109
"244","Douglas Brower","California","CA","2","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647503454184068,0.240439539620139,0.254731211908564,0.494775730592526,0.467261394968477,1982
"245","Drew Ferguson","Georgia","GA","3","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.64366857656678,0.644443982788305,0.662171626066789,-0.301137145632026,-0.341369431096424,612005.43
"246","Drew Montez Clark","Florida","FL","20","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206230719130133,0.234692654032698,0.211634966406287,0.522641023027716,0.567207325853591,53080.2
"247","Duke Buckner","South Carolina","SC","6","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415836073106821,0.332272008371684,0.335084718988455,0.32114444721915,0.313415614118229,82644.01
"248","Duncan F. Klussmann","Texas","TX","38","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501194935507381,0.40244165070131,0.371366013462778,-0.181261100001398,-0.236641880801919,226376.83
"249","Earl Blumenauer","Oregon","OR","3","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6446122889966,0.720046272071573,0.705390675348341,0.469748735469441,0.455579568434854,84306
"250","Earl L. ""Buddy"" Carter","Georgia","GA","1","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.575891637706711,0.560226265729308,0.574093537444856,-0.133842381993265,-0.164282826862576,555040.25
"251","Ed Case","Hawaii","HI","1","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.147718527798236,0.638825620103622,0.664989157759398,0.294313675711819,0.359333921820729,111861.77
"252","Edwin Thelander","Maine","ME","1","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894474139690155,0.371815347705098,0.407802421636302,0.228053534937894,0.129010770829261,45910.65
