"","Candidate","State","State_processed","District","Party","GOP.Num","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Senator.Num","Trump.Num","Party.Committee.Num","Emily.s.List.Num","Maggie.s.List.Num","Sanders.Num","Renew.America.Num","Winner.Num","2020.White.%","Pres_2020","Comp","Dem-Rep.2020","Dem-Rep.Comp","total_fundraised_sum"
"29","André D. Carson","Indiana","IN","7","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.453001462963675,0.702910121718746,0.679047378820364,0.423678033009255,0.38920769047519,108378.34
"30","Andrea Doria Kale","Florida","FL","17","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755355093009681,0.415649185053775,0.407865594454824,-0.159226078279188,-0.167462702731974,4100
"31","Andrea Salinas","Oregon","OR","6","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666924379648038,0.54790053990763,0.52418226987602,0.130697218066307,0.09931371449815,1746834.72
"32","Andrew Clyde","Georgia","GA","9","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.647044908297468,0.683004817867359,0.70503706729164,-0.378859079401797,-0.429630494046866,256685
"33","Andrew Jones","Missouri","MO","1","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404270280387437,0.200103092202737,0.20431793651394,0.583752556179617,0.56637641863212,29829
"34","Andrew R. Garbarino","New York","NY","2","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.558127652126012,0.500601654758052,0.461667017027538,-0.0149708301175924,0.0593686497092005,696767.34
"35","Andy Barr","Kentucky","KY","6","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.784862817788147,0.544771925958572,0.517992635750432,-0.10949757602468,-0.0572516161145606,626643.7
"36","Andy Biggs","Arizona","AZ","5","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.670568780738272,0.57405233705755,0.585029548979484,-0.163658707192273,-0.189388990876811,798244.64
"37","Andy Harris","Maryland","MD","1","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.720520790736437,0.55932281385858,0.601392640961558,-0.144500284582874,-0.23221854639488,314775
"38","Andy Kim","New Jersey","NJ","3","DEM",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.632764541967857,0.564004658268768,0.534032685256937,0.141135101144817,0.0847144955529083,1969204.06
"39","Andy Ogles","Tennessee","TN","5","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.691814119819605,0.545163465703179,0.545712571534059,-0.112992274922831,-0.118964107703262,595733.37
"40","Angela Grabovsky","Indiana","IN","7","GOP",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453001462963675,0.279232088709492,0.289839688345175,0.423678033009255,0.38920769047519,161490
"41","Angélica María Dueñas","California","CA","29","DEM",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.213632300967323,0.745446872294136,0.776416707259998,0.51307546222523,0.572609530359036,42170.66
"42","Angie Craig","Minnesota","MN","2","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.752805224081468,0.523633564280216,0.5027706781827,0.0715295789660686,0.0591537037853082,1709539.81
"43","Ann McLane Kuster","New Hampshire","NH","2","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.870489934883451,0.53571704918442,0.463046601546077,0.0883023200668938,-0.0451648348813875,1079148.51
"44","Ann Roe","Wisconsin","WI","1","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741978919935117,0.481357194233672,0.482739214786073,-0.0200230977297364,-0.0109118374479807,424810.92
"45","Ann Wagner","Missouri","MO","2","GOP",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.841803099703131,0.530507617220432,0.537606321441824,-0.0775940247086863,-0.101035383484797,851454.34
"46","Anna G. Eshoo","California","CA","16","DEM",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.434777280077172,0.754304816053862,0.742817943579467,0.530302554356647,0.505364575304455,311280.03
"47","Anna Paulina Luna","Florida","FL","13","GOP",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.739817295679655,0.527337535760829,0.525037208619822,-0.0674859113950097,-0.073586596511823,1401256.84
"48","Annette Taddeo","Florida","FL","27","DEM",1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.171703580635474,0.494635303397687,0.523772032657931,-0.0031913209402315,0.0591526140911897,914250.97
"49","Annie Andrews","South Carolina","SC","1","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682173076423374,0.448492475431579,0.422926826121733,-0.0863706620158115,-0.133263023453828,1051004.91
"50","Anthony P. D'Esposito","New York","NY","4","GOP",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.506840023630226,0.420939819881758,0.388970541653469,0.145014647561225,0.207298067785873,726772.1
