"","index","Candidate","State","Office","District","Party","Candidate_processed","Last_name","District_processed","State_processed","FEC_index","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ID"
"21","21","Jan McDowell","Texas","Representative","24","DEM","Jan McDowell","MCDOWELL","24","TX","2754","MCDOWELL, JAN","DEM","H6TX24149"
"22","22","Maclovio Perez Jr.","Texas","Representative","27","DEM","Maclovio Perez Jr.","JR.","27","TX",NA,NA,NA,NA
"23","23","Henry Cuellar","Texas","Representative","28","DEM","Henry Cuellar","CUELLAR","28","TX","2781","CUELLAR, HENRY","DEM","H2TX23082"
"24","24","Sylvia Garcia","Texas","Representative","29","DEM","Sylvia Garcia","GARCIA","29","TX","2791","GARCIA, SYLVIA R.","DEM","H8TX29052"
"25","25","Jasmine Crockett","Texas","Representative","30","DEM","Jasmine Crockett","CROCKETT","30","TX","2803","CROCKETT, JASMINE","DEM","H2TX30178"
"26","26","Colin Allred","Texas","Representative","32","DEM","Colin Allred","ALLRED","32","TX","2820","ALLRED, COLIN","DEM","H8TX32098"
"27","27","Marc Veasey","Texas","Representative","33","DEM","Marc Veasey","VEASEY","33","TX","2831","VEASEY, MARC ALLISON","DEM","H2TX33073"
"28","28","Vicente Gonzalez","Texas","Representative","34","DEM","Vicente Gonzalez","GONZALEZ","34","TX","2841","GONZALEZ, VICENTE","DEM","H6TX15162"
"29","29","Greg Casar","Texas","Representative","35","DEM","Greg Casar","CASAR","35","TX","2850","CASAR, GREG","DEM","H2TX35144"
"30","30","Jon Haire","Texas","Representative","36","DEM","Jon Haire","HAIRE","36","TX","2861","HAIRE, MARVIN JONATHAN","DEM","H2TX36142"
"31","31","Lloyd Doggett","Texas","Representative","37","DEM","Lloyd Doggett","DOGGETT","37","TX","2869","DOGGETT, LLOYD","DEM","H4TX10028"
"32","32","Duncan F. Klussmann","Texas","Representative","38","DEM","Duncan F. Klussmann","KLUSSMANN","38","TX","2873","KLUSSMANN, DUNCAN FOSTER","DEM","H2TX38056"
"33","33","Thomas M. McDermott Jr.","Indiana","Senator","N/A","DEM","Thomas M. McDermott Jr.","JR.","0","IN",NA,NA,NA,NA
"34","34","Frank J. Mrvan","Indiana","Representative","1","DEM","Frank J. Mrvan","MRVAN","1","IN","1030","MRVAN, FRANK J.","DEM","H0IN01150"
"35","35","Paul D. Steury","Indiana","Representative","2","DEM","Paul D. Steury","STEURY","2","IN","1037","STEURY, PAUL MR.","DEM","H2IN02279"
"36","36","Gary L. Snyder","Indiana","Representative","3","DEM","Gary L. Snyder","SNYDER","3","IN","1046","SNYDER, GARY","DEM","H2IN03202"
"37","37","Roger D. Day","Indiana","Representative","4","DEM","Roger D. Day","DAY","4","IN",NA,NA,NA,NA
"38","38","Jeannine Lee Lake","Indiana","Representative","5","DEM","Jeannine Lee Lake","LAKE","5","IN",NA,NA,NA,NA
"39","39","Cynthia ""Cinde"" Wirth","Indiana","Representative","6","DEM","Cynthia ""Cinde"" Wirth","WIRTH","6","IN","1066","WIRTH, CYNTHIA","DEM","H2IN06304"
"40","40","André D. Carson","Indiana","Representative","7","DEM","André D. Carson","CARSON","7","IN","1070","CARSON, ANDRE","DEM","H8IN07184"
"41","41","Ray McCormick","Indiana","Representative","8","DEM","Ray McCormick","MCCORMICK","8","IN","1075","MCCORMICK, RAY","DEM","H2IN08169"
"42","42","Matthew Fyfe","Indiana","Representative","9","DEM","Matthew Fyfe","FYFE","9","IN","1079","FYFE, MATTHEW JOHN","DEM","H2IN09191"
"43","43","Tim Ryan","Ohio","Senator","N/A","DEM","Tim Ryan","RYAN","0","OH","3696","RYAN, TIMOTHY","DEM","S2OH00402"
"44","44","Greg Landsman","Ohio","Representative","1","DEM","Greg Landsman","LANDSMAN","1","OH","2130","LANDSMAN, GREG","DEM","H2OH01194"
"45","45","Samantha Meadows","Ohio","Representative","2","DEM","Samantha Meadows","MEADOWS","2","OH","2137","MEADOWS, SAMANTHA","DEM","H2OH02127"
"46","46","Joyce Beatty","Ohio","Representative","3","DEM","Joyce Beatty","BEATTY","3","OH","2143","BEATTY, JOYCE","DEM","H2OH03125"
"47","47","Tamie Wilson","Ohio","Representative","4","DEM","Tamie Wilson","WILSON","4","OH","2148","WILSON, TAMIE","DEM","H2OH04156"
"48","47","Tamie Wilson","Ohio","Representative","4","DEM","Tamie Wilson","WILSON","4","OH","2149","WILSON, TAMARA","DEM","H2OH04164"
"49","48","Craig Swartz","Ohio","Representative","5","DEM","Craig Swartz","SWARTZ","5","OH","2151","SWARTZ, CRAIG STEPHEN","DEM","H2OH05062"
"50","49","Louis G. Lyras","Ohio","Representative","6","DEM","Louis G. Lyras","LYRAS","6","OH","2154","LYRAS, LOUIS GEORGE","DEM","H8OH13154"
"51","50","Matthew Diemer","Ohio","Representative","7","DEM","Matthew Diemer","DIEMER","7","OH","2159","DIEMER, MATTHEW","DEM","H2OH16044"
"52","51","Vanessa Enoch","Ohio","Representative","8","DEM","Vanessa Enoch","ENOCH","8","OH","2165","ENOCH, VANESSA","DEM","H8OH08097"
"53","52","Marcy Kaptur","Ohio","Representative","9","DEM","Marcy Kaptur","KAPTUR","9","OH","2168","KAPTUR, MARCY","DEM","H2OH09031"
"54","53","David Esrati","Ohio","Representative","10","DEM","David Esrati","ESRATI","10","OH","2175","ESRATI, DAVID","DEM","H8OH03098"
"55","54","Shontel Brown","Ohio","Representative","11","DEM","Shontel Brown","BROWN","11","OH","2178","BROWN, M SHONTEL","DEM","H2OH11169"
"56","55","Amy Rippel-Elton","Ohio","Representative","12","DEM","Amy Rippel-Elton","RIPPEL-ELTON","12","OH",NA,NA,NA,NA
"57","56","Emilia Sykes","Ohio","Representative","13","DEM","Emilia Sykes","SYKES","13","OH","2197","SYKES, EMILIA","DEM","H2OH13264"
"58","57","Matt Kilboy","Ohio","Representative","14","DEM","Matt Kilboy","KILBOY","14","OH","2210","KILBOY, MATTHEW","DEM","H2OH13223"
"59","58","Gary Josephson","Ohio","Representative","15","DEM","Gary Josephson","JOSEPHSON","15","OH","2217","JOSEPHSON, GARY","DEM","H2OH15277"
"60","59","Lacy Watson","West Virginia","Representative","1","DEM","Lacy Watson","WATSON","1","WV",NA,NA,NA,NA
"61","60","Barry Lee Wendell","West Virginia","Representative","2","DEM","Barry Lee Wendell","WENDELL","2","WV","3136","WENDELL, BARRY LEE MR.","DEM","H2WV02191"
"62","61","Patty Pansing Brooks","Nebraska","Representative","1","DEM","Patty Pansing Brooks","BROOKS","1","NE",NA,NA,NA,NA
"63","62","Tony Vargas","Nebraska","Representative","2","DEM","Tony Vargas","VARGAS","2","NE","1722","VARGAS, ANTHONY 'TONY'","DEM","H2NE02132"
"64","63","David J. Else","Nebraska","Representative","3","DEM","David J. Else","ELSE","3","NE",NA,NA,NA,NA
"65","64","Charles Booker","Kentucky","Senator","N/A","DEM","Charles Booker","BOOKER","0","KY","3486","BOOKER, CHARLES","DEM","S0KY00420"
"66","65","Jimmy C. Ausbrooks","Kentucky","Representative","1","DEM","Jimmy C. Ausbrooks","AUSBROOKS","1","KY","1118","AUSBROOKS, JIMMY CLIFTON","DEM","H2KY01085"
"67","66","Hank Linderman","Kentucky","Representative","2","DEM","Hank Linderman","LINDERMAN","2","KY","1122","LINDERMAN, HANK","DEM","H8KY02080"
"68","67","Morgan McGarvey","Kentucky","Representative","3","DEM","Morgan McGarvey","MCGARVEY","3","KY","1128","MCGARVEY, MORGAN","DEM","H2KY03206"
"69","68","Matthew Lehman","Kentucky","Representative","4","DEM","Matthew Lehman","LEHMAN","4","KY","1136","LEHMAN, MATTHEW","DEM","H2KY04212"
"70","69","Conor Halbleib","Kentucky","Representative","5","DEM","Conor Halbleib","HALBLEIB","5","KY","1140","HALBLEIB, CONOR","DEM","H2KY05177"
"71","70","Geoffrey M. ""Geoff"" Young","Kentucky","Representative","6","DEM","Geoffrey M. ""Geoff"" Young","YOUNG","6","KY","1146","YOUNG, GEOFFREY M","DEM","H4KY06163"
"72","71","Ron Wyden","Oregon","Senator","N/A","DEM","Ron Wyden","WYDEN","0","OR","3736","WYDEN, RONALD LEE","DEM","S6OR00110"
"73","72","Suzanne Bonamici","Oregon","Representative","1","DEM","Suzanne Bonamici","BONAMICI","1","OR","2271","BONAMICI, SUZANNE MS.","DEM","H2OR01133"
"74","73","Joe Yetter","Oregon","Representative","2","DEM","Joe Yetter","YETTER","2","OR","2275","YETTER, JOSEPH FREDERICK III","DEM","H2OR02156"
"75","74","Earl Blumenauer","Oregon","Representative","3","DEM","Earl Blumenauer","BLUMENAUER","3","OR","2280","BLUMENAUER, EARL","DEM","H6OR03064"
"76","75","Val Hoyle","Oregon","Representative","4","DEM","Val Hoyle","HOYLE","4","OR","2283","HOYLE, VALERIE","DEM","H2OR04095"
"77","76","Jamie McLeod-Skinner","Oregon","Representative","5","DEM","Jamie McLeod-Skinner","MCLEOD-SKINNER","5","OR","2295","MCLEOD-SKINNER, JAMIE","DEM","H8OR02161"
"78","77","Andrea Salinas","Oregon","Representative","6","DEM","Andrea Salinas","SALINAS","6","OR","2306","SALINAS, ANDREA","DEM","H2OR06066"
"79","78","David Roth","Idaho","Senator","N/A","DEM","David Roth","ROTH","0","ID","3433","ROTH, DAVID JORDAN","DEM","S2ID00178"
"80","79","Kaylee Peterson","Idaho","Representative","1","DEM","Kaylee Peterson","PETERSON","1","ID","881","PETERSON, KAYLEE JADE","DEM","H2ID01192"
"81","80","Wendy Norman","Idaho","Representative","2","DEM","Wendy Norman","NORMAN","2","ID","888","NORMAN, WENDY ANN","DEM","H2ID02216"
"82","81","Cheri Beasley","North Carolina","Senator","N/A","DEM","Cheri Beasley","BEASLEY","0","NC","3590","BEASLEY, CHERI","DEM","S2NC00497"
"83","82","Don Davis","North Carolina","Representative","1","DEM","Don Davis","DAVIS","1","NC","1579","DAVIS, DON","DEM","H2NC02287"
"84","83","Deborah K. Ross","North Carolina","Representative","2","DEM","Deborah K. Ross","ROSS","2","NC","1588","ROSS, DEBORAH","DEM","H0NC02125"
"85","84","Barbara D. Gaskins","North Carolina","Representative","3","DEM","Barbara D. Gaskins","GASKINS","3","NC","1599","GASKINS, BARBARA D MS.","DEM","H2NC03095"
"86","85","Valerie P. Foushee","North Carolina","Representative","4","DEM","Valerie P. Foushee","FOUSHEE","4","NC","1608","FOUSHEE, VALERIE","DEM","H2NC06114"
"87","86","Kyle Parrish","North Carolina","Representative","5","DEM","Kyle Parrish","PARRISH","5","NC","1621","PARRISH, BERNARD KYLE","DEM","H2NC07203"
"88","87","Kathy Manning","North Carolina","Representative","6","DEM","Kathy Manning","MANNING","6","NC","1628","MANNING, KATHY","DEM","H8NC13067"
"89","88","Charles Graham","North Carolina","Representative","7","DEM","Charles Graham","GRAHAM","7","NC","1641","GRAHAM, CHARLES","DEM","H2NC09183"
"90","89","Scott Huffman","North Carolina","Representative","8","DEM","Scott Huffman","HUFFMAN","8","NC","1645","HUFFMAN, SCOTT","DEM","H8NC08109"
"91","90","Ben Clark","North Carolina","Representative","9","DEM","Ben Clark","CLARK","9","NC",NA,NA,NA,NA
"92","91","Pam Genant","North Carolina","Representative","10","DEM","Pam Genant","GENANT","10","NC","1658","GENANT, PAMELA","DEM","H2NC13235"
"93","92","Jasmine Beach-Ferrara","North Carolina","Representative","11","DEM","Jasmine Beach-Ferrara","BEACH-FERRARA","11","NC","1663","BEACH-FERRARA, JASMINE","DEM","H2NC11155"
"94","93","Alma S. Adams","North Carolina","Representative","12","DEM","Alma S. Adams","ADAMS","12","NC","1681","ADAMS, ALMA SHEALEY","DEM","H4NC12100"
"95","94","Wiley Nickel","North Carolina","Representative","13","DEM","Wiley Nickel","NICKEL","13","NC","1689","NICKEL, WILEY","DEM","H2NC14019"
"96","95","Jeff Jackson","North Carolina","Representative","14","DEM","Jeff Jackson","JACKSON","14","NC","1705","JACKSON, JEFF","DEM","H2NC14076"
"97","96","John Fetterman","Pennsylvania","Senator","N/A","DEM","John Fetterman","FETTERMAN","0","PA","3755","FETTERMAN, JOHN KARL","DEM","S6PA00274"
"98","97","Ashley Ehasz","Pennsylvania","Representative","1","DEM","Ashley Ehasz","EHASZ","1","PA","2320","EHASZ, ASHLEY","DEM","H2PA01099"
"99","98","Brendan F. Boyle","Pennsylvania","Representative","2","DEM","Brendan F. Boyle","BOYLE","2","PA","2327","BOYLE, BRENDAN F","DEM","H4PA13199"
"100","99","Dwight Evans","Pennsylvania","Representative","3","DEM","Dwight Evans","EVANS","3","PA","2331","EVANS, DWIGHT","DEM","H6PA02171"
"101","100","Madeleine Dean","Pennsylvania","Representative","4","DEM","Madeleine Dean","DEAN","4","PA","2333","DEAN, MADELEINE","DEM","H8PA04116"
"102","101","Mary Gay Scanlon","Pennsylvania","Representative","5","DEM","Mary Gay Scanlon","SCANLON","5","PA","2341","SCANLON, MARY GAY","DEM","H8PA07200"
"103","102","Chrissy Houlahan","Pennsylvania","Representative","6","DEM","Chrissy Houlahan","HOULAHAN","6","PA","2344","HOULAHAN, CHRISSY","DEM","H8PA06087"
"104","103","Susan Wild","Pennsylvania","Representative","7","DEM","Susan Wild","WILD","7","PA","2353","WILD, SUSAN","DEM","H8PA15229"
"105","104","Matt Cartwright","Pennsylvania","Representative","8","DEM","Matt Cartwright","CARTWRIGHT","8","PA","2361","CARTWRIGHT, MATTHEW A.","DEM","H2PA17079"
"106","105","Amanda R. Waldman","Pennsylvania","Representative","9","DEM","Amanda R. Waldman","WALDMAN","9","PA","2366","WALDMAN, AMANDA","DEM","H2PA09126"
"107","106","Shamaine Daniels","Pennsylvania","Representative","10","DEM","Shamaine Daniels","DANIELS","10","PA","2373","DANIELS, SHAMAINE MS","DEM","H2PA10124"
"108","107","Bob Hollister","Pennsylvania","Representative","11","DEM","Bob Hollister","HOLLISTER","11","PA","2377","HOLLISTER, ROBERT MICHAEL III","DEM","H2PA11114"
"109","108","Summer Lee","Pennsylvania","Representative","12","DEM","Summer Lee","LEE","12","PA","2383","LEE, SUMMER","DEM","H2PA18200"
"110","109","Dan Pastore","Pennsylvania","Representative","16","DEM","Dan Pastore","PASTORE","16","PA","2399","PASTORE, DANIEL","DEM","H2PA16097"
"111","110","Chris Deluzio","Pennsylvania","Representative","17","DEM","Chris Deluzio","DELUZIO","17","PA","2402","DELUZIO, CHRISTOPHER","DEM","H2PA17103"
"112","111","Taysha DeVaughan","Virginia","Representative","9","DEM","Taysha DeVaughan","DEVAUGHAN","9","VA","2982","DEVAUGHAN, TAYSHA","DEM","H2VA09085"
"113","112","Will Boyd","Alabama","Senator","N/A","DEM","Will Boyd","BOYD","0","AL","3257","BOYD, WILLIE EUGENE DR. JR.","DEM","S2AL00251"
"114","113","Phyllis Harvey-Hall","Alabama","Representative","2","DEM","Phyllis Harvey-Hall","HARVEY-HALL","2","AL",NA,NA,NA,NA
"115","114","Lin Veasey","Alabama","Representative","3","DEM","Lin Veasey","VEASEY","3","AL",NA,NA,NA,NA
"116","115","Rick Neighbors","Alabama","Representative","4","DEM","Rick Neighbors","NEIGHBORS","4","AL",NA,NA,NA,NA
"117","116","Kathy Warner-Stanton","Alabama","Representative","5","DEM","Kathy Warner-Stanton","WARNER-STANTON","5","AL",NA,NA,NA,NA
"118","117","Terrycina Sewell","Alabama","Representative","7","DEM","Terrycina Sewell","SEWELL","7","AL",NA,NA,NA,NA
"119","118","Natalie James","Arkansas","Senator","N/A","DEM","Natalie James","JAMES","0","AR","3274","JAMES, NATALIE","DEM","S2AR00115"
"120","119","Monte Hodges","Arkansas","Representative","1","DEM","Monte Hodges","HODGES","1","AR",NA,NA,NA,NA
"121","120","Quintessa Hathaway","Arkansas","Representative","2","DEM","Quintessa Hathaway","HATHAWAY","2","AR",NA,NA,NA,NA
"122","121","Lauren Mallett-Hays","Arkansas","Representative","3","DEM","Lauren Mallett-Hays","MALLETT-HAYS","3","AR",NA,NA,NA,NA
"123","122","John White","Arkansas","Representative","4","DEM","John White","WHITE","4","AR",NA,NA,NA,NA
"124","123","Raphael Warnock","Georgia","Senator","N/A","DEM","Raphael Warnock","WARNOCK","0","GA","3387","WARNOCK, RAPHAEL","DEM","S0GA00559"
"125","124","Wade Herring","Georgia","Representative","1","DEM","Wade Herring","HERRING","1","GA","697","HERRING, WADE WILKES MR. II","DEM","H2GA01249"
"126","125","Sanford Bishop","Georgia","Representative","2","DEM","Sanford Bishop","BISHOP","2","GA","703","BISHOP, SANFORD","DEM","H2GA02031"
"127","126","Val Almonord","Georgia","Representative","3","DEM","Val Almonord","ALMONORD","3","GA","712","ALMONORD, VALBRUN DR.","DEM","H0GA03074"
"128","127","Henry C. ""Hank"" Johnson Jr.","Georgia","Representative","4","DEM","Henry C. ""Hank"" Johnson Jr.","JR.","4","GA",NA,NA,NA,NA
"129","128","Nikema Williams","Georgia","Representative","5","DEM","Nikema Williams","WILLIAMS","5","GA","719","WILLIAMS, NIKEMA NATASSHA","DEM","H0GA05301"
"130","129","Bob Christian","Georgia","Representative","6","DEM","Bob Christian","CHRISTIAN","6","GA","728","CHRISTIAN, ROBERT FRANKLIN MR. III","DEM","H2GA06222"
"131","130","Lucy McBath","Georgia","Representative","7","DEM","Lucy McBath","MCBATH","7","GA","754","MCBATH, LUCIA KAY MS.","DEM","H8GA06393"
"132","131","Darrius Butler","Georgia","Representative","8","DEM","Darrius Butler","BUTLER","8","GA","763","BUTLER, DARRIUS MAURICE","DEM","H2GA08095"
"133","132","Michael ""Mike"" Ford","Georgia","Representative","9","DEM","Michael ""Mike"" Ford","FORD","9","GA","768","FORD, MICHAEL C. MR.","DEM","H2GA09234"
"134","133","Tabitha Johnson-Green","Georgia","Representative","10","DEM","Tabitha Johnson-Green","JOHNSON-GREEN","10","GA","780","JOHNSON-GREEN, TABITHA","DEM","H8GA10197"
"135","134","Antonio Daza","Georgia","Representative","11","DEM","Antonio Daza","DAZA","11","GA",NA,NA,NA,NA
"136","135","Elizabeth ""Liz"" Johnson","Georgia","Representative","12","DEM","Elizabeth ""Liz"" Johnson","JOHNSON","12","GA","802","JOHNSON, ELIZABETH","DEM","H0GA12059"
"137","136","David Scott","Georgia","Representative","13","DEM","David Scott","SCOTT","13","GA","806","SCOTT, DAVID ALBERT","DEM","H2GA13012"
"138","137","Marcus Flowers","Georgia","Representative","14","DEM","Marcus Flowers","FLOWERS","14","GA","816","FLOWERS, MARCUS","DEM","H2GA14044"
"139","138","Melanie Ann Stansbury","New Mexico","Representative","1","DEM","Melanie Ann Stansbury","STANSBURY","1","NM","1843","STANSBURY, MELANIE","DEM","H2NM01144"
"140","139","Gabriel Vasquez","New Mexico","Representative","2","DEM","Gabriel Vasquez","VASQUEZ","2","NM","1862","VASQUEZ, GABRIEL","DEM","H2NM02191"
"141","140","Teresa Leger Fernandez","New Mexico","Representative","3","DEM","Teresa Leger Fernandez","FERNANDEZ","3","NM",NA,NA,NA,NA
"142","141","Dianne Black","Mississippi","Representative","1","DEM","Dianne Black","BLACK","1","MS","1537","BLACK, DIANNE DODSON","DEM","H2MS01148"
"143","142","Bennie G. Thompson","Mississippi","Representative","2","DEM","Bennie G. Thompson","THOMPSON","2","MS","1540","THOMPSON, BENNIE G.","DEM","H4MS02068"
"144","143","Shuwaski A. Young","Mississippi","Representative","3","DEM","Shuwaski A. Young","YOUNG","3","MS","1543","YOUNG, SHUWASKI","DEM","H2MS03136"
"145","144","Johnny L. DuPree ","Mississippi","Representative","4","DEM","Johnny L. DuPree ","","4","MS",NA,NA,NA,NA
"146","145","Monica Tranel","Montana","Representative","1","DEM","Monica Tranel","TRANEL","1","MT","1562","TRANEL, MONICA","DEM","H2MT02092"
"147","146","Penny Ronning","Montana","Representative","2","DEM","Penny Ronning","RONNING","2","MT","1571","RONNING, PENNY","DEM","H2MT02134"
"148","147","Michael Franken","Iowa","Senator","N/A","DEM","Michael Franken","FRANKEN","0","IA","3424","FRANKEN, MICHAEL T","DEM","S2IA00172"
"149","148","Christina Bohannan","Iowa","Representative","1","DEM","Christina Bohannan","BOHANNAN","1","IA","854","BOHANNAN, CHRISTINA","DEM","H2IA02111"
"150","149","Liz Mathis","Iowa","Representative","2","DEM","Liz Mathis","MATHIS","2","IA","860","MATHIS, ELIZABETH","DEM","H2IA01089"
"151","150","Cindy Axne","Iowa","Representative","3","DEM","Cindy Axne","AXNE","3","IA","867","AXNE, CINDY","DEM","H8IA03124"
"152","151","Ryan Melton","Iowa","Representative","4","DEM","Ryan Melton","MELTON","4","IA","875","MELTON, RYAN MICHAEL APPLETON","DEM","H2IA04141"
"153","152","Brian L. Bengs","South Dakota","Senator","N/A","DEM","Brian L. Bengs","BENGS","0","SD","3787","BENGS, BRIAN L","DEM","S2SD00126"
"154","153","Donald W. Norcross","New Jersey","Representative","1","DEM","Donald W. Norcross","NORCROSS","1","NJ","1746","NORCROSS, DONALD W","DEM","H4NJ01084"
"155","154","Tim Alexander","New Jersey","Representative","2","DEM","Tim Alexander","ALEXANDER","2","NJ","1753","ALEXANDER, TIMOTHY C","DEM","H2NJ02193"
"156","155","Andy Kim","New Jersey","Representative","3","DEM","Andy Kim","KIM","3","NJ","1763","KIM, ANDY","DEM","H8NJ03206"
"157","156","Matthew Jenkins","New Jersey","Representative","4","DEM","Matthew Jenkins","JENKINS","4","NJ","1775","JENKINS, MATTHEW","DEM","H2NJ04215"
"158","157","Josh Gottheimer","New Jersey","Representative","5","DEM","Josh Gottheimer","GOTTHEIMER","5","NJ","1784","GOTTHEIMER, JOSH","DEM","H6NJ05171"
"159","158","Frank Pallone Jr.","New Jersey","Representative","6","DEM","Frank Pallone Jr.","JR.","6","NJ",NA,NA,NA,NA
"160","159","Tom Malinowski","New Jersey","Representative","7","DEM","Tom Malinowski","MALINOWSKI","7","NJ","1804","MALINOWSKI, TOM","DEM","H8NJ07223"
"161","160","Robert J. Menendez","New Jersey","Representative","8","DEM","Robert J. Menendez","MENENDEZ","8","NJ","1816","MENENDEZ, ROBERT J.","DEM","H2NJ08232"
"162","161","Bill Pascrell Jr.","New Jersey","Representative","9","DEM","Bill Pascrell Jr.","JR.","9","NJ",NA,NA,NA,NA
"163","162","Donald M. Payne Jr.","New Jersey","Representative","10","DEM","Donald M. Payne Jr.","JR.","10","NJ",NA,NA,NA,NA
"164","163","Mikie Sherrill","New Jersey","Representative","11","DEM","Mikie Sherrill","SHERRILL","11","NJ","1828","SHERRILL, MIKIE","DEM","H8NJ11142"
"165","164","Bonnie Watson Coleman","New Jersey","Representative","12","DEM","Bonnie Watson Coleman","COLEMAN","12","NJ","1841","COLEMAN, BONNIE WATSON","DEM","H4NJ12149"
"166","165","Alex Padilla","California","Senator","N/A","DEM","Alex Padilla","PADILLA","0","CA","3295","PADILLA, ALEX","DEM","S2CA00955"
"167","166","Max Steiner","California","Representative","1","DEM","Max Steiner","STEINER","1","CA",NA,NA,NA,NA
"168","167","Jared Huffman","California","Representative","2","DEM","Jared Huffman","HUFFMAN","2","CA",NA,NA,NA,NA
"169","168","Kermit Jones","California","Representative","3","DEM","Kermit Jones","JONES","3","CA",NA,NA,NA,NA
"170","169","Mike Thompson","California","Representative","4","DEM","Mike Thompson","THOMPSON","4","CA",NA,NA,NA,NA
"171","170","Michael J. ""Mike"" Barkley","California","Representative","5","DEM","Michael J. ""Mike"" Barkley","BARKLEY","5","CA",NA,NA,NA,NA
"172","171","Ami Bera","California","Representative","6","DEM","Ami Bera","BERA","6","CA",NA,NA,NA,NA
"173","172","Doris Matsui","California","Representative","7","DEM","Doris Matsui","MATSUI","7","CA",NA,NA,NA,NA
"174","173","John Garamendi","California","Representative","8","DEM","John Garamendi","GARAMENDI","8","CA",NA,NA,NA,NA
"175","174","Josh Harder","California","Representative","9","DEM","Josh Harder","HARDER","9","CA",NA,NA,NA,NA
"176","175","Mark DeSaulnier","California","Representative","10","DEM","Mark DeSaulnier","DESAULNIER","10","CA",NA,NA,NA,NA
"177","176","Nancy Pelosi","California","Representative","11","DEM","Nancy Pelosi","PELOSI","11","CA",NA,NA,NA,NA
"178","177","Barbara Lee","California","Representative","12","DEM","Barbara Lee","LEE","12","CA",NA,NA,NA,NA
"179","178","Adam Gray","California","Representative","13","DEM","Adam Gray","GRAY","13","CA",NA,NA,NA,NA
"180","179","Eric Swalwell","California","Representative","14","DEM","Eric Swalwell","SWALWELL","14","CA",NA,NA,NA,NA
"181","180","David J. Canepa","California","Representative","15","DEM","David J. Canepa","CANEPA","15","CA",NA,NA,NA,NA
"182","181","Kevin Mullin","California","Representative","15","DEM","Kevin Mullin","MULLIN","15","CA",NA,NA,NA,NA
