"","committee_id","total_fundraised"
"1153","C00744698",15150
"1154","C00744888",3625
"1155","C00744987",250
"1156","C00745505",15345
"1157","C00745786",23
"1158","C00746099",56000
"1159","C00746529",500
"1160","C00746842",5250
"1161","C00746917",250
"1162","C00747097",1000
"1163","C00747998",250
"1164","C00748400",1010
"1165","C00748814",74115.74
"1166","C00749598",16350
"1167","C00750224",500
"1168","C00750307",166777.57
"1169","C00750521",-35
"1170","C00750877",29550
"1171","C00751099",100
"1172","C00751339",24483.5
"1173","C00751396",30
"1174","C00751826",207971
"1175","C00752469",35
"1176","C00752519",50000
"1177","C00752584",289151.5
"1178","C00752691",5000
"1179","C00753400",1500
"1180","C00754077",75
"1181","C00754796",1850
"1182","C00755173",11000
"1183","C00755405",2800
"1184","C00756916",3062.88
"1185","C00756940",101250
"1186","C00757419",115
"1187","C00757633",5300
"1188","C00758250",1322.14
"1189","C00758441",150
"1190","C00759332",465
"1191","C00759365",250
"1192","C00760124",-10
"1193","C00760397",5000
"1194","C00760629",5000
"1195","C00760686",50
"1196","C00760827",75
"1197","C00761593",7009
"1198","C00762088",300
"1199","C00762161",100
"1200","C00762344",49567
"1201","C00762559",7000
"1202","C00762567",44406.95
"1203","C00762807",1800
"1204","C00763045",1009796.33
"1205","C00763565",388105.87
"1206","C00763649",420846.04
"1207","C00763656",13398.4
"1208","C00763896",5917.07
"1209","C00763912",3025.22
"1210","C00763946",449.62
"1211","C00763995",200
"1212","C00764027",21386.85
"1213","C00764233",35
"1214","C00764266",5533.25
"1215","C00764373",8700
"1216","C00764381",728508.25
"1217","C00764423",576204.26
"1218","C00764449",4140.22
"1219","C00764589",12750
"1220","C00764662",34615.22
"1221","C00764860",50
"1222","C00764951",58012
"1223","C00765024",11200
"1224","C00765099",543362.12
"1225","C00765164",2595416.77
"1226","C00765180",47366.64
"1227","C00765412",20670.19
"1228","C00765446",1202.8
"1229","C00765461",386861.01
"1230","C00765545",100
"1231","C00765693",150
"1232","C00765719",1382433.41
"1233","C00765750",10144.05
"1234","C00765800",17580450.2899996
"1235","C00765891",594782.73
"1236","C00766105",250
"1237","C00766162",797341.58
"1238","C00766238",143369.91
"1239","C00766287",10900
"1240","C00766402",6930
"1241","C00766428",492195.8
"1242","C00766451",9297.22
"1243","C00766477",900
"1244","C00766493",159913.19
"1245","C00766519",77411
"1246","C00766634",310769.99
"1247","C00766691",44368.6900000001
"1248","C00766725",5530
"1249","C00766832",11322.3
"1250","C00766840",1560
"1251","C00766857",6200
"1252","C00767046",1261394.79
"1253","C00767137",4090.5
"1254","C00767178",210
"1255","C00767194",667901
"1256","C00767277",8869.66
"1257","C00767285",13300.51
"1258","C00767327",19885
"1259","C00767343",221473.68
"1260","C00767350",148859.96
"1261","C00767400",1219102.78
"1262","C00767657",266342.65
"1263","C00767756",12994.1
"1264","C00767798",171626.13
"1265","C00767947",875
"1266","C00768028",100
"1267","C00768101",2571243.99000001
"1268","C00768366",42962
"1269","C00768416",3439.66
"1270","C00768465",97770
"1271","C00768606",3750
"1272","C00768614",760
"1273","C00768655",7146
"1274","C00768671",100
"1275","C00768689",279965.2
"1276","C00768705",574256.29
"1277","C00768754",10303.45
"1278","C00768762",500
"1279","C00768820",14770.12
"1280","C00768838",65
"1281","C00768853",238575
"1282","C00768911",129550
"1283","C00768978",1425
"1284","C00768994",1966110.97000001
"1285","C00769000",300
"1286","C00769059",211144.18
"1287","C00769208",24379.33
"1288","C00769257",672.34
"1289","C00769364",4250
"1290","C00769414",761058.44
"1291","C00769430",355
"1292","C00769448",11400
"1293","C00769463",3050
"1294","C00769471",164475
"1295","C00769521",1000
"1296","C00769588",62393.18
"1297","C00769596",8180.94
"1298","C00769604",703174.76
"1299","C00769687",148583.79
"1300","C00769703",154327.8
"1301","C00769745",1043653
"1302","C00769778",31300
"1303","C00769786",26741
"1304","C00769794",877733.53
"1305","C00769828",50
"1306","C00769869",45200
"1307","C00769901",268730.92
"1308","C00769919",20951
"1309","C00769950",250
"1310","C00770008",322721.27
"1311","C00770057",582.82
"1312","C00770107",7221.32
"1313","C00770115",500
"1314","C00770131",98804
"1315","C00770149",5000
"1316","C00770172",700
"1317","C00770271",250
"1318","C00770347",596742.57
"1319","C00770438",1373288.67
"1320","C00770495",2e+05
"1321","C00770511",833.33
"1322","C00770578",34638.5
"1323","C00770628",11500
"1324","C00770636",556676.29
"1325","C00770818",386312
"1326","C00770966",29587.5
"1327","C00770974",284566.22
"1328","C00770982",250
"1329","C00771071",1000
"1330","C00771105",1000
"1331","C00771154",15395
"1332","C00771170",1300
"1333","C00771196",10000
"1334","C00771204",250
"1335","C00771238",5000
"1336","C00771246",30400
"1337","C00771261",6850
"1338","C00771279",2922.33
"1339","C00771303",10594
"1340","C00771311",200
"1341","C00771337",600
"1342","C00771360",549008.58
"1343","C00771378",3275
"1344","C00771394",913671.73
"1345","C00771436",18489.82
"1346","C00771493",39796
"1347","C00771527",3900
"1348","C00771634",185572.48
"1349","C00771709",23351.11
"1350","C00771758",23637.93
"1351","C00771824",29774.88
"1352","C00771949",481312.049999999
"1353","C00771972",1310214.93
"1354","C00772004",1460
"1355","C00772186",620
"1356","C00772202",28750
"1357","C00772277",500
"1358","C00772335",21100
"1359","C00772467",11250
"1360","C00772574",647.39
"1361","C00772632",625
"1362","C00772640",7666
"1363","C00772780",275
"1364","C00772798",8650
"1365","C00772830",650
"1366","C00772871",31047.24
"1367","C00772889",37614.97
"1368","C00772897",31764.97
"1369","C00772905",37916.55
"1370","C00772921",138265.86
"1371","C00772939",63467.73
"1372","C00772947",31752.47
"1373","C00772954",32752.47
"1374","C00772962",30814.97
"1375","C00772988",562.16
"1376","C00773101",26515
"1377","C00773184",54972.31
"1378","C00773200",3700
"1379","C00773283",75000
"1380","C00773341",1000
"1381","C00773390",210
"1382","C00773432",693
"1383","C00773531",3000
"1384","C00773549",3250
"1385","C00773564",3000
"1386","C00773697",3110
"1387","C00773747",2900
"1388","C00773820",1634860.46
"1389","C00773838",1550
"1390","C00773903",5000
"1391","C00774059",472115.02
"1392","C00774141",25275
"1393","C00774174",30759.76
"1394","C00774190",29063.08
"1395","C00774240",18410
"1396","C00774273",14127
"1397","C00774281",2158814.66
"1398","C00774455",7630
"1399","C00774570",3037133.36
"1400","C00774612",48261.25
"1401","C00774653",25
"1402","C00774695",20
"1403","C00774778",133977.76
"1404","C00774844",1700
"1405","C00774851",3210
"1406","C00774869",750
"1407","C00774877",955
"1408","C00774885",2000
"1409","C00774893",43210
"1410","C00774901",72966.5
"1411","C00774919",10885
"1412","C00774935",10000
"1413","C00774943",200247
"1414","C00774984",22216
"1415","C00775007",175113.12
"1416","C00775015",1826068.79
"1417","C00775023",12404.99
"1418","C00775049",247.42
"1419","C00775064",104684.78
"1420","C00775072",40188.46
"1421","C00775080",55304.19
"1422","C00775098",55304.19
"1423","C00775106",84304.78
"1424","C00775122",81404.78
"1425","C00775163",17975
"1426","C00775189",5046.05
"1427","C00775247",2394
"1428","C00775254",81404.78
"1429","C00775262",81404.78
"1430","C00775270",90104.78
"1431","C00775288",146408.97
"1432","C00775296",88904.76
"1433","C00775304",119578.01
"1434","C00775320",128008.95
"1435","C00775338",39938.47
"1436","C00775353",115008.95
"1437","C00775361",78504.75
"1438","C00775411",33040.88
"1439","C00775478",135339.89
"1440","C00775486",51576.91
"1441","C00775510",69271.49
"1442","C00775528",15857.7
"1443","C00775544",701156.85
"1444","C00775551",5740
"1445","C00775585",-851921
"1446","C00775643",78504.75
"1447","C00775650",97404.75
"1448","C00775668",19359.29
"1449","C00775684",87204.74
"1450","C00775692",81404.74
"1451","C00775700",15545
"1452","C00775726",30916
"1453","C00775734",28016
"1454","C00775759",84304.73
"1455","C00775767",87204.73
"1456","C00775858",110623.77
"1457","C00775866",87154.73
"1458","C00775890",95904.74
"1459","C00775908",81612.64
"1460","C00775916",109008.93
"1461","C00775940",137491.59
"1462","C00775965",13320
"1463","C00776039",1500
"1464","C00776062",250
"1465","C00776096",750
"1466","C00776104",5525
"1467","C00776120",1380484.32
"1468","C00776138",30
"1469","C00776203",1694
"1470","C00776211",5150
"1471","C00776245",212149.44
"1472","C00776252",21180.44
"1473","C00776286",17908
"1474","C00776328",1157153
"1475","C00776344",106
"1476","C00776393",513425.66
"1477","C00776401",31587.31
"1478","C00776476",167450.74
"1479","C00776484",179900.84
"1480","C00776500",29144
"1481","C00776567",13492
"1482","C00776617",4250
"1483","C00776641",35125
"1484","C00776658",144310.66
"1485","C00776666",20
"1486","C00776716",2065.77
"1487","C00776757",1562637.64
"1488","C00776765",8359697.66000002
"1489","C00776831",392188.8
"1490","C00776872",6195.36
"1491","C00776922",500
"1492","C00776930",143754.01
"1493","C00776948",9076
"1494","C00777037",52915
"1495","C00777078",340
"1496","C00777144",9002.1
"1497","C00777151",52015
"1498","C00777219",21600
"1499","C00777227",81878.47
"1500","C00777490",139160.45
"1501","C00777540",3000
"1502","C00777557",18600
"1503","C00777565",148256
"1504","C00777631",100
"1505","C00777722",10480
"1506","C00777748",11800
"1507","C00777771",22822719.43
"1508","C00777904",18180455.1600002
"1509","C00777920",119272.73
"1510","C00777946",1500
"1511","C00777995",333357.05
"1512","C00778126",20866.74
"1513","C00778142",781260
"1514","C00778159",2055065.97
"1515","C00778209",2690.9
"1516","C00778332",52377.76
"1517","C00778340",18460
"1518","C00778407",583007.11
"1519","C00778464",1712567.59
"1520","C00778522",6375
"1521","C00778589",27801.2
"1522","C00778654",500
"1523","C00778753",48981
"1524","C00778811",37668
"1525","C00778886",44945.58
"1526","C00778928",200
"1527","C00778936",38400
"1528","C00778993",20219
"1529","C00779058",220225.36
"1530","C00779090",395067.74
"1531","C00779108",355.25
"1532","C00779124",10350
"1533","C00779173",13830
"1534","C00779181",20109.62
"1535","C00779199",1075
"1536","C00779231",2500
"1537","C00779322",1400
"1538","C00779405",15409.32
"1539","C00779439",239577.1
"1540","C00779553",220255
"1541","C00779561",1516.4
"1542","C00779579",-34665
"1543","C00779603",296251.72
"1544","C00779611",500
"1545","C00779686",841879.86
"1546","C00779751",58885
"1547","C00779769",265755.41
"1548","C00779793",6240
"1549","C00779827",4000
"1550","C00779843",23049.43
"1551","C00779884",1364.85
"1552","C00779918",55814.74
"1553","C00779967",96555.05
"1554","C00779991",9900
"1555","C00780023",224265.76
"1556","C00780049",540800.45
"1557","C00780056",84767.23
"1558","C00780130",325
"1559","C00780155",390793.44
"1560","C00780171",142.3
"1561","C00780205",32605
"1562","C00780213",71327.32
"1563","C00780254",7250
"1564","C00780338",1500
"1565","C00780346",250
"1566","C00780429",17063.22
"1567","C00780445",25
"1568","C00780452",300
"1569","C00780544",98219.91
"1570","C00780585",7519.67
"1571","C00780601",38741.82
"1572","C00780619",900547.609999999
"1573","C00780650",39227.85
"1574","C00780668",925
"1575","C00780700",8600
"1576","C00780726",35250
"1577","C00780759",4758.19
"1578","C00780775",9550
"1579","C00780791",934369.64
"1580","C00780825",2787.75
"1581","C00780882",111159.88
"1582","C00780916",2000
"1583","C00780965",2674
"1584","C00781021",375169.5
"1585","C00781062",4750
"1586","C00781112",1165195.11
"1587","C00781153",164564
"1588","C00781187",57375
"1589","C00781203",800
"1590","C00781211",48070.82
"1591","C00781252",111137.04
"1592","C00781328",436074.58
"1593","C00781336",910501.74
"1594","C00781369",1480
"1595","C00781377",6470
"1596","C00781427",278099.39
"1597","C00781443",8853625.11
"1598","C00781450",14410
"1599","C00781468",12450
"1600","C00781484",102081.2
"1601","C00781492",724211.14
"1602","C00781567",106893.37
"1603","C00781575",32300
"1604","C00781658",490.31
"1605","C00781666",164828.2
"1606","C00781716",176933.33
"1607","C00781799",1510
"1608","C00781807",5360
"1609","C00781898",985607.73
"1610","C00781922",208894
"1611","C00781930",8440
"1612","C00781948",31433.28
"1613","C00781963",1360
"1614","C00781997",250
"1615","C00782128",236541.38
"1616","C00782136",158640.52
"1617","C00782177",18949.58
"1618","C00782219",28868.4
"1619","C00782300",300
"1620","C00782391",73171.97
"1621","C00782508",100
"1622","C00782540",13450
"1623","C00782565",5050
"1624","C00782581",206342.06
"1625","C00782649",13803.82
"1626","C00782706",8916
"1627","C00782714",50430
"1628","C00782755",160350.48
"1629","C00782789",60900
"1630","C00782797",1083139.95
"1631","C00782854",325382
"1632","C00782961",12649
"1633","C00783027",13273.99
"1634","C00783068",100707.54
"1635","C00783092",14271.35
"1636","C00783134",12000
"1637","C00783142",7521930.86000012
"1638","C00783159",44850
"1639","C00783209",12195.22
"1640","C00783233",4405
"1641","C00783241",32136
"1642","C00783258",975
"1643","C00783266",40075.04
"1644","C00783274",1736092.36
"1645","C00783308",1550
"1646","C00783324",48058.43
"1647","C00783340",141815.07
"1648","C00783365",5788
"1649","C00783373",75824
"1650","C00783381",115162
"1651","C00783449",2450
"1652","C00783456",3889.9
"1653","C00783464",164522.959999999
"1654","C00783480",16160
"1655","C00783498",157368.82
"1656","C00783530",132734
"1657","C00783589",17050
"1658","C00783639",11100
"1659","C00783654",5000
"1660","C00783688",99789.87
"1661","C00783696",1380520.52
"1662","C00783704",34019.38
"1663","C00783712",404107.05
"1664","C00783720",197095.49
"1665","C00783753",50
"1666","C00783845",8400
"1667","C00783886",6600
"1668","C00783910",760
"1669","C00783928",16325
"1670","C00783936",1160605.53
"1671","C00784017",2533.84
"1672","C00784041",53080.2
"1673","C00784066",650
"1674","C00784074",240935.68
"1675","C00784082",122820.54
"1676","C00784090",4500
"1677","C00784132",575.93
"1678","C00784165",7851060.7
"1679","C00784249",19344.34
"1680","C00784264",700
"1681","C00784272",765032.56
"1682","C00784280",19925.68
"1683","C00784298",-6498
"1684","C00784306",505169.9
"1685","C00784314",16290
"1686","C00784330",580
"1687","C00784355",71061
"1688","C00784371",1496422.96
"1689","C00784389",1230122.41
"1690","C00784421",2152.26
"1691","C00784454",1770
"1692","C00784470",890
"1693","C00784520",743219.81
"1694","C00784553",12250
"1695","C00784587",424810.92
"1696","C00784629",287746.04
"1697","C00784637",250
"1698","C00784645",65295.22
"1699","C00784694",5000
"1700","C00784751",8400
"1701","C00784769",684.25
"1702","C00784777",9995
"1703","C00784785",325984.63
"1704","C00784835",7125
"1705","C00784843",652890.29
"1706","C00784884",1168058.65
"1707","C00784892",2172.56
"1708","C00784900",15680.08
"1709","C00784926",576529.22
"1710","C00784934",1976302.49000002
"1711","C00784959",18189114.1
"1712","C00784975",-18898.35
"1713","C00784983",26753
"1714","C00784991",5565.8
"1715","C00785014",50
"1716","C00785097",8202.5
"1717","C00785113",15960.55
"1718","C00785196",84298.57
"1719","C00785238",1000
"1720","C00785246",9600
"1721","C00785253",2600
"1722","C00785261",37464
"1723","C00785279",1014574.97
"1724","C00785287",221603
"1725","C00785295",-38300
"1726","C00785303",4225
"1727","C00785360",29788
"1728","C00785493",10695
"1729","C00785543",14600
"1730","C00785550",16600
"1731","C00785584",250
"1732","C00785634",500
"1733","C00785675",1887168.89
"1734","C00785683",11930.4
"1735","C00785733",404584.41
"1736","C00785824",4300
"1737","C00785832",9800
"1738","C00785865",22671.79
"1739","C00785899",5000
"1740","C00785923",335422.46
"1741","C00785931",8685
"1742","C00785949",15430
"1743","C00785956",116615
"1744","C00785980",14984
"1745","C00786004",12749.8
"1746","C00786038",177685
"1747","C00786053",9525
"1748","C00786087",1528044.11
"1749","C00786129",17233.83
"1750","C00786178",250
"1751","C00786194",2193325.48999998
"1752","C00786210",138218
"1753","C00786228",500
"1754","C00786277",800
"1755","C00786293",15
"1756","C00786319",4790
"1757","C00786327",50100
"1758","C00786335",1982
"1759","C00786343",54103
"1760","C00786350",1250
"1761","C00786368",5000
"1762","C00786384",15407.58
"1763","C00786467",1250
"1764","C00786475",29829
"1765","C00786491",33043.75
"1766","C00786541",61150
"1767","C00786558",4550
"1768","C00786574",40659.84
"1769","C00786632",103771.18
"1770","C00786657",535384.41
"1771","C00786665",1700
"1772","C00786715",889795.78
"1773","C00786723",34397.13
"1774","C00786731",34600.75
"1775","C00786798",28250
"1776","C00786806",62609
"1777","C00786822",814542.29
"1778","C00786855",16900
"1779","C00786889",63810
"1780","C00786905",356500
"1781","C00786921",238.28
"1782","C00786954",289051.65
"1783","C00786996",82341
"1784","C00787069",4630
"1785","C00787101",205731.77
"1786","C00787135",8651814.74000001
"1787","C00787234",28535.65
"1788","C00787259",1200
"1789","C00787267",81805
"1790","C00787341",283270.99
"1791","C00787390",82940.31
"1792","C00787473",3000
"1793","C00787507",2500
"1794","C00787549",4880
"1795","C00787556",22726.25
"1796","C00787598",118555.22
"1797","C00787648",1399047.18
"1798","C00787655",6400
"1799","C00787689",2460
"1800","C00787754",250
"1801","C00787788",1680017.6
"1802","C00787812",1702447.14
"1803","C00787820",1631170.11
"1804","C00787853",16511032.45
"1805","C00787978",50000
"1806","C00787994",55540
"1807","C00788000",15590
"1808","C00788083",53129.25
"1809","C00788166",5000
"1810","C00788182",8950
"1811","C00788265",2998
"1812","C00788273",40430
"1813","C00788299",45910.65
"1814","C00788356",80210.33
"1815","C00788398",31260
"1816","C00788414",415996.87
"1817","C00788463",152228
"1818","C00788489",300
"1819","C00788497",129146.27
"1820","C00788505",4700
"1821","C00788513",25
"1822","C00788539",14420
"1823","C00788547",9805
"1824","C00788562",4577.5
"1825","C00788588",119684
"1826","C00788687",7296.49
"1827","C00788695",24925.84
"1828","C00788737",500
"1829","C00788752",20460
"1830","C00788794",116700
"1831","C00788802",18501
"1832","C00788810",360518.54
"1833","C00788851",222500
"1834","C00788869",1138152.52
"1835","C00788943",2568037.74
"1836","C00788968",821977.250000001
"1837","C00789008",627308.869999999
"1838","C00789073",9900
"1839","C00789123",7924.62
"1840","C00789222",7950
"1841","C00789230",245214.98
"1842","C00789263",40800
"1843","C00789271",250
"1844","C00789289",1550
"1845","C00789305",11215.37
"1846","C00789347",19560
"1847","C00789388",2250
"1848","C00789396",29807
"1849","C00789404",1702071.67
"1850","C00789420",59976.44
"1851","C00789461",24.01
"1852","C00789586",1040429.22
"1853","C00789628",41735
"1854","C00789644",101629.94
"1855","C00789669",1126.43
"1856","C00789685",4186.99
"1857","C00789693",130189.02
"1858","C00789776",6910
"1859","C00789792",69650
"1860","C00789842",103754.41
"1861","C00789875",8222
"1862","C00789941",525
"1863","C00789958",5900
"1864","C00790030",86295.64
"1865","C00790055",7950
"1866","C00790063",184206.59
"1867","C00790071",550000
"1868","C00790097",5308.71
"1869","C00790238",3133
"1870","C00790261",29230.05
"1871","C00790279",-63710.58
"1872","C00790287",128860
"1873","C00790329",157232.22
"1874","C00790352",16551.17
"1875","C00790378",467188
"1876","C00790386",345019.55
"1877","C00790394",27180
"1878","C00790402",73930.76
"1879","C00790410",15431
"1880","C00790428",1225.44
"1881","C00790436",15051.66
"1882","C00790444",215527.71
"1883","C00790469",453651.26
"1884","C00790485",136237.26
"1885","C00790519",19625
"1886","C00790543",650250.01
"1887","C00790550",198125.12
"1888","C00790568",63517.48
"1889","C00790576",51350
"1890","C00790600",550
"1891","C00790634",248127.33
"1892","C00790642",43278.65
"1893","C00790683",51845.22
"1894","C00790733",3576183.50000019
"1895","C00790758",772121.839999999
"1896","C00790766",1950
"1897","C00790774",48455
"1898","C00790816",257903.66
"1899","C00790824",112100
"1900","C00790865",157765.32
"1901","C00790964",1665
"1902","C00790972",138147.63
"1903","C00790998",22634.05
"1904","C00791012",3400
"1905","C00791020",1600
"1906","C00791038",21099.21
"1907","C00791046",79367.22
"1908","C00791129",48.03
"1909","C00791178",21042
"1910","C00791186",3318454.23
"1911","C00791194",500
"1912","C00791202",9e+06
"1913","C00791236",58606.97
"1914","C00791277",1500
"1915","C00791293",229392.12
"1916","C00791319",5250
"1917","C00791327",650
"1918","C00791335",501507.37
"1919","C00791343",186303.4
"1920","C00791384",9800
"1921","C00791392",1416698.61
"1922","C00791442",350
"1923","C00791459",207957.19
"1924","C00791467",128986.22
"1925","C00791475",185584.75
"1926","C00791491",400109
"1927","C00791509",196917.44
"1928","C00791517",12340
"1929","C00791525",3438250.42
"1930","C00791533",87540
"1931","C00791541",47566.66
"1932","C00791558",31280
"1933","C00791574",316306.85
"1934","C00791582",136327.41
"1935","C00791699",75767
"1936","C00791715",48642.42
"1937","C00791749",1000
"1938","C00791756",1481405.64
"1939","C00791764",2900
"1940","C00791780",538386.27
"1941","C00791806",2000
"1942","C00791814",32740
"1943","C00791871",306057.5
"1944","C00791897",583850.53
"1945","C00791913",804769
"1946","C00791962",578059.76
"1947","C00791988",100
"1948","C00792002",237762
"1949","C00792051",51723.27
"1950","C00792077",66310
"1951","C00792085",764699.91
"1952","C00792101",27214.77
"1953","C00792143",24545.22
"1954","C00792150",250
"1955","C00792168",963206.34
"1956","C00792184",119040.12
"1957","C00792267",192605.92
"1958","C00792275",2900
"1959","C00792283",739016
"1960","C00792341",1288795.32
"1961","C00792382",32800
"1962","C00792390",11069.77
"1963","C00792408",6000
"1964","C00792416",12193.31
"1965","C00792424",4144.88
"1966","C00792440",358
"1967","C00792465",1822381.67
"1968","C00792473",196656
"1969","C00792481",64468.13
"1970","C00792499",14309
"1971","C00792507",2253724.39
"1972","C00792515",75530
"1973","C00792556",3700
"1974","C00792598",401648.71
"1975","C00792614",74651.3
"1976","C00792630",9900
"1977","C00792689",132930
"1978","C00792754",6550
"1979","C00792762",146760.06
"1980","C00792812",33952.52
"1981","C00792846",6750
"1982","C00792861",49700
"1983","C00792903",1000
"1984","C00792911",7250
"1985","C00792960",550
"1986","C00793026",5500
"1987","C00793109",319456.48
"1988","C00793117",87112.25
"1989","C00793166",726398.83
"1990","C00793182",42145
"1991","C00793190",185400
"1992","C00793273",207616
"1993","C00793281",1044574.1
"1994","C00793307",24303.75
"1995","C00793364",4699.8
"1996","C00793448",3000
"1997","C00793505",29000
"1998","C00793513",100
"1999","C00793562",15622
"2000","C00793612",129339
"2001","C00793620",15450
"2002","C00793638",1051004.91
"2003","C00793646",862862.14
"2004","C00793695",2e+05
"2005","C00793703",1746834.72
"2006","C00793711",245.34
"2007","C00793752",69248.59
"2008","C00793760",2232486.76
"2009","C00793778",147585.72
"2010","C00793786",334885.34
"2011","C00793828",39950
"2012","C00793851",3800
"2013","C00793877",68825.4
"2014","C00793919",6130
"2015","C00793935",1373874.55
"2016","C00793943",278510.89
"2017","C00793950",43336
"2018","C00793976",822867.960000003
"2019","C00794016",5000
"2020","C00794032",2500
"2021","C00794040",642295
"2022","C00794065",876429.45
"2023","C00794081",1200
"2024","C00794131",19000
"2025","C00794156",9750
"2026","C00794164",32950
"2027","C00794222",5000
"2028","C00794263",39496.62
"2029","C00794271",1000
"2030","C00794297",8250
"2031","C00794305",8965
"2032","C00794339",188309.55
"2033","C00794354",54655.23
"2034","C00794370",138365.99
"2035","C00794388",109575
"2036","C00794412",3000
"2037","C00794438",82996.71
"2038","C00794453",17497
"2039","C00794479",660412.48
"2040","C00794487",15181.22
"2041","C00794495",383329.96
"2042","C00794537",82720.61
"2043","C00794560",13330.48
"2044","C00794602",563848.61
"2045","C00794610",104331.17
"2046","C00794677",4707.25
"2047","C00794693",8010
"2048","C00794727",685902.61
"2049","C00794735",12250
"2050","C00794792",15444.49
"2051","C00794800",36180.85
"2052","C00794834",350
"2053","C00794859",250
"2054","C00794867",8660
"2055","C00794875",9985
"2056","C00794909",12600
"2057","C00794917",4500
"2058","C00794982",392486
"2059","C00795005",726929.74
"2060","C00795047",500
"2061","C00795054",67984.5
"2062","C00795088",68166.31
"2063","C00795096",1400
"2064","C00795104",293833.17
"2065","C00795112",10945
"2066","C00795211",886652.94
"2067","C00795237",805
"2068","C00795245",22401.05
"2069","C00795252",1468397.37
"2070","C00795278",450
"2071","C00795310",1000
"2072","C00795351",27550
"2073","C00795401",216216.36
"2074","C00795450",438349.38
"2075","C00795492",1250
"2076","C00795500",2944.09
"2077","C00795518",6243.23
"2078","C00795526",62919.84
"2079","C00795542",495082.08
"2080","C00795559",205752.82
"2081","C00795575",10499
"2082","C00795583",599.82
"2083","C00795617",48745
"2084","C00795658",158123.17
"2085","C00795682",27507.88
"2086","C00795724",59758
"2087","C00795740",29002.72
"2088","C00795757",369526.64
"2089","C00795765",134980
"2090","C00795773",84000
"2091","C00795799",165885.79
"2092","C00795823",566091.5
"2093","C00795880",7159.3
"2094","C00795906",115172.85
"2095","C00795914",14200
"2096","C00795930",11540899.8699999
"2097","C00796037",129722.1
"2098","C00796045",1e+06
"2099","C00796060",250
"2100","C00796086",448111
"2101","C00796110",20150
"2102","C00796144",1029435.6
"2103","C00796151",33949.48
"2104","C00796169",15515
"2105","C00796193",55310
"2106","C00796235",103909.48
"2107","C00796284",90226
"2108","C00796292",3000
"2109","C00796342",17450
"2110","C00796383",31202.06
"2111","C00796391",500
"2112","C00796425",110931.26
"2113","C00796433",866410.51
"2114","C00796441",17800
"2115","C00796458",3285
"2116","C00796482",500
"2117","C00796508",3120.82
"2118","C00796516",773655.79
"2119","C00796524",470152.46
"2120","C00796540",2450427.34
"2121","C00796573",98236
"2122","C00796581",15500
"2123","C00796607",165173.4
"2124","C00796672",392938.19
"2125","C00796680",291851.72
"2126","C00796698",34680.54
"2127","C00796714",22751
"2128","C00796763",11050
"2129","C00796789",19350
"2130","C00796797",83245
"2131","C00796805",4000
"2132","C00796847",1000
"2133","C00796854",46267.6
"2134","C00796912",800
"2135","C00796920",188797
"2136","C00796987",1007.6
"2137","C00796995",50
"2138","C00797068",12000
"2139","C00797092",42700
"2140","C00797142",28318.36
"2141","C00797167",1000
"2142","C00797175",1093680.11
"2143","C00797183",26350
"2144","C00797191",5759
"2145","C00797217",846397.46
"2146","C00797225",39499.01
"2147","C00797233",57661
"2148","C00797241",1247662.03
"2149","C00797258",34512.86
"2150","C00797282",766853.2
"2151","C00797290",27832.72
"2152","C00797381",28407
"2153","C00797423",10808.8
"2154","C00797464",54603.2
"2155","C00797506",44782.4
"2156","C00797522",88560.21
"2157","C00797548",3500
"2158","C00797555",6325
"2159","C00797563",265301
"2160","C00797597",69800
"2161","C00797605",4310
"2162","C00797613",55526.26
"2163","C00797639",280373.34
"2164","C00797647",15102
"2165","C00797704",13225
"2166","C00797738",13858.47
"2167","C00797746",11500
"2168","C00797753",9350
"2169","C00797761",3650
"2170","C00797795",885851.49
"2171","C00797852",299.7
"2172","C00797878",13110.54
"2173","C00797910",2250
"2174","C00797928",226376.83
"2175","C00797944",500
"2176","C00798066",192924.68
"2177","C00798124",84304.78
"2178","C00798132",2650
"2179","C00798157",626556.39
"2180","C00798207",4019
"2181","C00798215",33530
"2182","C00798223",8920.5
"2183","C00798231",84304.78
"2184","C00798264",78504.73
"2185","C00798272",84304.78
"2186","C00798280",75604.78
"2187","C00798298",81404.78
"2188","C00798306",94390.44
"2189","C00798314",27450
"2190","C00798322",1644308.6
"2191","C00798330",226932.52
"2192","C00798397",6
"2193","C00798447",26559.13
"2194","C00798454",90661.9
"2195","C00798462",75604.75
"2196","C00798488",87204.78
"2197","C00798553",10250
"2198","C00798561",124454
"2199","C00798587",26202.32
"2200","C00798595",7257
"2201","C00798611",60280.1
"2202","C00798637",106476.6
"2203","C00798645",197013.12
"2204","C00798652",115921.44
"2205","C00798660",157664.76
"2206","C00798678",87204.78
"2207","C00798686",147838.14
"2208","C00798694",156213.13
"2209","C00798702",77996
"2210","C00798751",14670
"2211","C00798769",7500
"2212","C00798777",5479.7
"2213","C00798801",1000
"2214","C00798819",1810
"2215","C00798827",9354.04
"2216","C00798850",327993
"2217","C00798868",3950
"2218","C00798876",86636.79
"2219","C00798884",3507.45
"2220","C00798892",64167.81
"2221","C00798900",74857
"2222","C00798942",18820.04
"2223","C00798967",2000
"2224","C00798975",56160
"2225","C00798983",165570
"2226","C00798991",4000
"2227","C00799007",500
"2228","C00799056",432
"2229","C00799064",5000
