"","committee_id","total_fundraised"
"282","C00366559",250
"283","C00366948",163000
"284","C00367862",1178809.22
"285","C00368332",3500
"286","C00368522",173422.72
"287","C00368902",13.6
"288","C00369033",672270.8
"289","C00369801",171575
"290","C00370015",75
"291","C00370056",6698.13
"292","C00371203",162891.2
"293","C00371302",1491690.08
"294","C00371948",33.03
"295","C00372532",130716.07
"296","C00373001",539910
"297","C00373837",40
"298","C00374058",149828.28
"299","C00374306",22
"300","C00376087",341439.26
"301","C00376244",1000
"302","C00376376",265.38
"303","C00376582",25
"304","C00376665",4050
"305","C00376673",79260
"306","C00376939",1300179.96
"307","C00377044",340
"308","C00378752",450
"309","C00379735",592680
"310","C00380527",200
"311","C00382150",25
"312","C00382424",100
"313","C00383463",1000
"314","C00383489",38
"315","C00384057",167540
"316","C00384354",560
"317","C00384529",3801802.34
"318","C00385773",478527.77
"319","C00386029",220
"320","C00386524",1516.66
"321","C00386748",515464.46
"322","C00387753",384.6
"323","C00388827",15000
"324","C00388983",495
"325","C00390476",1447842.98
"326","C00390583",416.66
"327","C00390724",230647.31
"328","C00390963",900
"329","C00391029",272940
"330","C00392290",120
"331","C00392688",450258.82
"332","C00392738",5000
"333","C00393041",25800
"334","C00393629",1073949.03
"335","C00394650",590
"336","C00394957",8587217.84000014
"337","C00395467",51675
"338","C00395848",99050
"339","C00397505",133740.16
"340","C00397711",180.69
"341","C00398644",7740
"342","C00399386",250
"343","C00400333",19.23
"344","C00401034",68584
"345","C00401224",160
"346","C00402800",5050
"347","C00403881",500
"348","C00404020",50
"349","C00404301",450
"350","C00406645",250
"351","C00408260",2186.69
"352","C00408534",449121.65
"353","C00409219",331706
"354","C00409581",2714339.64
"355","C00410233",547338.62
"356","C00410639",3475
"357","C00410761",549952.19
"358","C00410803",535836.26
"359","C00411116",145
"360","C00411330",1597798.22999983
"361","C00411553",4225
"362","C00411587",53515
"363","C00412304",655682.460000006
"364","C00412635",1250
"365","C00412759",1333611.79
"366","C00412890",314835.33
"367","C00413914",1348906.21
"368","C00414474",20
"369","C00414490",150
"370","C00414649",900
"371","C00414896",38.47
"372","C00415182",23695
"373","C00415331",53897.66
"374","C00416594",2498218.82
"375","C00417774",19.23
"376","C00418293",36692.66
"377","C00419630",7330
"378","C00420745",84527
"379","C00420760",123327.5
"380","C00420935",9059554.7900002
"381","C00422980",35500
"382","C00424713",53351.1900000001
"383","C00424838",864.2
"384","C00426569",1000
"385","C00427542",234
"386","C00428623",50
"387","C00430157",113.37
"388","C00430991",546928.95
"389","C00431056",1088647.17
"390","C00431312",416.66
"391","C00431353",1037880.22
"392","C00431874",5000
"393","C00432260",200
"394","C00432823",850
"395","C00433391",61000
"396","C00433672",769.2
"397","C00433805",300
"398","C00434191",444998.5
"399","C00434563",361993.82
"400","C00435099",1292890.35
"401","C00435321",30.49
"402","C00435974",314775
"403","C00436386",295848.29
"404","C00437277",341990.18
"405","C00437889",775357.22
"406","C00438697",183966.54
"407","C00438713",1020679.24
"408","C00440362",56498.5
"409","C00440644",10
"410","C00441014",834083.05
"411","C00442020",70
"412","C00442921",108378.34
"413","C00443218",532535
"414","C00443580",161810
"415","C00443689",337929.18
"416","C00444620",584800.58
"417","C00444885",129.36
"418","C00444968",232200.05
"419","C00445023",282850
"420","C00445163",914250.97
"421","C00445452",368219.3
"422","C00446237",20
"423","C00446815",537120.7
"424","C00446906",446236.15
"425","C00447201",126
"426","C00447474",250
"427","C00447565",625
"428","C00447748",100
"429","C00448696",500
"430","C00450049",294887.23
"431","C00450056",192.3
"432","C00450353",3756.15
"433","C00452581",2500
"434","C00453704",300
"435","C00454074",330
"436","C00455378",1500
"437","C00455733",144
"438","C00456939",10000
"439","C00457325",198969.03
"440","C00457556",103225
"441","C00458117",37100
"442","C00458125",392108.27
"443","C00458315",1266770.23
"444","C00458398",8389005
"445","C00458463",500
"446","C00458679",395191.449999999
"447","C00458828",1492223.44
"448","C00458877",-19300
"449","C00458976",551435
"450","C00459099",434219
"451","C00459255",2701606.51
"452","C00459297",576978.6
"453","C00459743",360
"454","C00459800",110
"455","C00460055",165868
"456","C00460063",148027.5
"457","C00460261",157436
"458","C00460550",285414.02
"459","C00460659",339180.96
"460","C00461061",299148.32
"461","C00461129",76.92
"462","C00461806",384192.53
"463","C00461822",198400
"464","C00462374",431452.62
"465","C00462697",133778.4
"466","C00462861",1079148.51
"467","C00464073",26244
"468","C00464149",2136264.39
"469","C00464602",1352479.41
"470","C00465211",2500
"471","C00466482",1328279.95
"472","C00466516",23225
"473","C00467373",300
"474","C00467381",140
"475","C00467571",626643.7
"476","C00468256",102356.28
"477","C00468314",47
"478","C00468579",216723
"479","C00469163",1590
"480","C00469429",10550
"481","C00469882",10788.15
"482","C00472704",760406.18
"483","C00473132",427800
"484","C00473371",810519.09
"485","C00473827",1833475.11
"486","C00474189",104800
"487","C00475350",35
"488","C00475392",274334.83
"489","C00476317",2030073.52
"490","C00476564",377701.25
"491","C00476820",249795
"492","C00476978",760
"493","C00477240",127967.64
"494","C00477323",331175
"495","C00477745",557900
"496","C00479063",154867
"497","C00481911",149665
"498","C00482463",10000
"499","C00482737",152300
"500","C00482984",17113163.52
"501","C00483883",-15
"502","C00484535",500
"503","C00485896",3557.7
"504","C00486563",2826075.67
"505","C00486845",115
"506","C00487470",250
"507","C00488387",5100
"508","C00488478",120
"509","C00488882",76.92
"510","C00489302",170
"511","C00491050",40
"512","C00491357",241101.08
"513","C00492058",10000
"514","C00492645",279482.77
"515","C00492785",2951113.39
"516","C00492983",3000
"517","C00492991",2268705.07
"518","C00493700",10000
"519","C00494856",326861.02
"520","C00494930",1661558.87
"521","C00495028",10
"522","C00495358",985760.25
"523","C00495507",11604
"524","C00495846",851454.34
"525","C00495887",3100
"526","C00495952",778053.06
"527","C00496075",5394954.31
"528","C00496752",983.32
"529","C00496760",433475
"530","C00497131",5000
"531","C00497321",86000
"532","C00497545",300
"533","C00497818",272198.75
"534","C00497933",118859.79
"535","C00498121",215746.61
"536","C00498212",500
"537","C00498345",1901522.85
"538","C00498667",263515.37
"539","C00498873",213203
"540","C00498907",148052.83
"541","C00499392",853547.33
"542","C00499467",993747.92
"543","C00499863",250
"544","C00499947",1162145.31
"545","C00499988",1165167.57
"546","C00500421",165923
"547","C00500843",949943.629999995
"548","C00501205",1000
"549","C00501429",19.23
"550","C00501643",271332
"551","C00501924",15350
"552","C00502179",139974.43
"553","C00502229",262698.98
"554","C00502294",1053053.66
"555","C00502575",333466.68
"556","C00503052",1337545.07
"557","C00503110",571200.07
"558","C00503185",2154936.34
"559","C00503847",150
"560","C00504019",190222.6
"561","C00504522",486661.89
"562","C00504704",191040.26
"563","C00506048",323284
"564","C00506832",199849.45
"565","C00506931",222730.19
"566","C00507368",296000
"567","C00508804",2712121.68
"568","C00509331",263.15
"569","C00509422",242604.99
"570","C00509729",374675.960000001
"571","C00509968",1739959.25
"572","C00510164",1007011.06
"573","C00510461",664308.69
"574","C00512426",1520176.13
"575","C00513077",487680.79
"576","C00513549",485.9
"577","C00514893",587642.02
"578","C00516047",5125
"579","C00516666",397215.57
"580","C00519355",404395.5
"581","C00521948",797691.42
"582","C00523498",1200
"583","C00524769",480
"584","C00525071",225
"585","C00527457",534466
"586","C00528182",153226.66
"587","C00529891",40
"588","C00529909",192.3
"589","C00531590",2033.39
"590","C00532465",42980
"591","C00536466",125
"592","C00536680",251926.08
"593","C00539825",145530
"594","C00539866",229184.05
"595","C00539890",801
"596","C00540187",2500
"597","C00540229",35
"598","C00540302",8288934.38999991
"599","C00540500",2313525.88
"600","C00540617",876299
"601","C00540732",412551.4
"602","C00540898",100
"603","C00541862",552198.18
"604","C00541888",200010.6
"605","C00542464",25000
"606","C00542555",500
"607","C00542837",250
"608","C00543231",97960.96
"609","C00543363",181425
"610","C00543892",131460
"611","C00543967",555040.25
"612","C00543983",507696.2
"613","C00544007",300
"614","C00544387",87721.21
"615","C00544551",184701.9
"616","C00544684",318734
"617","C00544817",191.66
"618","C00545749",862602.889999999
"619","C00545772",132820.58
"620","C00546119",115.39
"621","C00546234",244.16
"622","C00546358",145280
"623","C00546499",295984.48
"624","C00546788",355593.58
"625","C00546903",290
"626","C00547240",407715.95
"627","C00547893",2628437.86
"628","C00547976",171366
"629","C00548180",774065.91
"630","C00548248",176.92
"631","C00548289",758411.02
"632","C00548461",600
"633","C00549014",5000
"634","C00550707",21062.34
"635","C00550970",40
"636","C00551184",38
"637","C00551275",1458349.14
"638","C00551374",408076.38
"639","C00552539",1000
"640","C00552547",43172
"641","C00552679",85
"642","C00552711",2000
"643","C00553099",50
"644","C00553859",311024.88
"645","C00554709",66479
"646","C00555813",8925
"647","C00555888",534271.36
"648","C00556258",5800
"649","C00556365",1644.84
"650","C00556506",238871.14
"651","C00557223",6010
"652","C00557652",92535
"653","C00558213",226783.4
"654","C00558320",362166
"655","C00558437",145004
"656","C00558486",571393.85
"657","C00558627",880751.819999999
"658","C00558825",1223224.62
"659","C00559393",409973.6
"660","C00560359",1000
"661","C00561530",391146.7
"662","C00561597",323606.64
"663","C00562777",1750
"664","C00563429",10000
"665","C00564377",961.5
"666","C00566232",46323.78
"667","C00567693",2500
"668","C00568162",225000
"669","C00568410",269.22
"670","C00569707",15
"671","C00570226",70
"672","C00570994",304674.2
"673","C00571091",5000
"674","C00571125",191.3
"675","C00572479",187.5
"676","C00572602",2782.44
"677","C00573253",50
"678","C00573261",90.69
"679","C00573378",345854.14
"680","C00573444",500
"681","C00573550",4454.55
"682","C00573758",578284.11
"683","C00573949",2273601.85
"684","C00573980",275006.09
"685","C00574103",100
"686","C00574350",60.48
"687","C00574889",3663275.26000024
"688","C00575050",559083.05
"689","C00575092",2764746.76000001
"690","C00575126",951393.17
"691","C00575167",847953.67
"692","C00575209",1709539.81
"693","C00575233",909640.67
"694","C00575548",21133739.58
"695","C00576041",390226
"696","C00576173",211139.83
"697","C00577353",256351
"698","C00577999",635379.95
"699","C00578302",159142
"700","C00578450",15000
"701","C00578567",62000.28
"702","C00579359",145.83
"703","C00581058",2700
"704","C00581074",236288.53
"705","C00581876",250
"706","C00582304",461723
"707","C00582635",27266
"708","C00582890",1785114.24
"709","C00583161",5000
"710","C00583435",2000
"711","C00585885",18.75
"712","C00588392",103094.1
"713","C00588657",510305.7
"714","C00588764",279825
"715","C00588772",13445482.73
"716","C00589119",145
"717","C00590307",836.12
"718","C00590471",213.47
"719","C00590489",25487443.78
"720","C00590778",727203.22
"721","C00591065",173922.38
"722","C00591388",6886.96
"723","C00591917",365
"724","C00592048",5525
"725","C00592154",527879.14
"726","C00592535",1000
"727","C00592659",472172.26
"728","C00592808",50000
"729","C00599084",4000
"730","C00599092",10000
"731","C00599464",261502.1
"732","C00600718",187098.8
"733","C00603084",50110
"734","C00604496",1e+05
"735","C00605592",559907.01
"736","C00606764",7242.78
"737","C00606939",841208.41
"738","C00607200",6750
"739","C00607416",696685.62
"740","C00607838",612005.43
"741","C00608398",10917854.74
"742","C00608695",355078
"743","C00610212",352772.83
"744","C00610360",225
"745","C00610451",798244.64
"746","C00610964",149305.22
"747","C00612432",1162243.76999997
"748","C00612846",350
"749","C00614115",424149.31
"750","C00614214",382353.51
"751","C00614776",5306326.14999993
"752","C00614826",374662.5
"753","C00615203",250
"754","C00615294",169985
"755","C00617662",331793.83
"756","C00620443",500
"757","C00620518",14839295.1800001
"758","C00623595",2500
"759","C00624049",158515
"760","C00624890",20000
"761","C00624965",150
"762","C00628917",751350
"763","C00629659",318313.98
"764","C00630665",5000
"765","C00631051",1050
"766","C00632067",295380.87
"767","C00632133",410
"768","C00632257",1722988.67999998
"769","C00632828",524337.97
"770","C00633404",1187
"771","C00633610",211347.36
"772","C00633859",496315.83
"773","C00633982",25
"774","C00634253",1904204.33
