"","CAND_ID","CMTE_ID","LINKAGE_ID"
"175","H0CA36177","C00718387",237729
"176","H0CA36193","C00714048",239031
"177","H0CA37167","C00798595",242877
"178","H0CA37167","C00719864",239224
"179","H0CA38140","C00769356",239694
"180","H0CA38157","C00731927",238723
"181","H0CA39114","C00703793",236040
"182","H0CA40104","C00698704",236950
"183","H0CA40112","C00710301",238424
"184","H0CA40120","C00776138",240590
"185","H0CA40138","C00736579",238272
"186","H0CA42217","C00697524",235905
"187","H0CA42225","C00708446",239145
"188","H0CA42233","C00708792",238965
"189","H0CA43108","C00778654",245317
"190","H0CA43108","C00705236",236893
"191","H0CA43124","C00736553",238271
"192","H0CA44163","C00719435",237762
"193","H0CA45152","C00724161",237963
"194","H0CA45160","C00783027",241289
"195","H0CA46077","C00708669",239056
"196","H0CA47133","C00710798",239034
"197","H0CA47141","C00758383",239041
"198","H0CA47141","C00712646",239245
"199","H0CA47166","C00805226",244894
"200","H0CA47174","C00715359",237353
"201","H0CA48024","C00721332",239466
"202","H0CA48156","C00695791",236839
"203","H0CA48172","C00700187",237066
"204","H0CA48180","C00700450",236468
"205","H0CA48198","C00702480",238263
"206","H0CA48198","C00704981",236948
"207","H0CA48222","C00723833",237410
"208","H0CA48230","C00732974",238300
"209","H0CA49055","C00344671",234875
"210","H0CA49113","C00698191",235922
"211","H0CA50111","C00696187",236310
"212","H0CA50129","C00710863",239039
"213","H0CA50152","C00717207",237842
"214","H0CA50186","C00730283",238164
"215","H0CA50194","C00729129",238660
"216","H0CA52083","C00724849",239215
"217","H0CA52091","C00726323",237798
"218","H0CA53073","C00701185",236862
"219","H0CA53107","C00719112",238812
"220","H0CA53180","C00727867",238712
"221","H0CA53206","C00729889",238496
"222","H0CA53222","C00730226",238130
"223","H0CA53230","C00727461",238606
"224","H0CA53255","C00735027",238136
"225","H0CO01136","C00697540",236514
"226","H0CO01144","C00698324",237026
"227","H0CO01151","C00726059",237695
"228","H0CO01169","C00733303",239129
"229","H0CO02209","C00721423",238440
"230","H0CO02217","C00725572",237436
"231","H0CO02225","C00735373",239237
"232","H0CO02233","C00748848",237661
"233","H0CO03132","C00769919",239826
"234","H0CO03157","C00723338",237242
"235","H0CO03165","C00728238",237251
"236","H0CO04197","C00697334",236106
"237","H0CO04205","C00731893",238720
"238","H0CO04213","C00742304",238058
"239","H0CO05129","C00700997",237098
"240","H0CO05137","C00729814",237602
"241","H0CO05145","C00733428",238715
"242","H0CO05152","C00781203",244795
"243","H0CO05152","C00755009",237620
"244","H0CO06101","C00710855",239038
"245","H0CO06119","C00717868",238955
"246","H0CO06119","C00702506",237575
"247","H0CO06135","C00790154",241978
"248","H0CO06135","C00733238",238451
"249","H0CT01126","C00746404",238291
"250","H0CT01134","C00746248",237539
"251","H0CT01134","C00803320",244581
"252","H0CT02199","C00716456",237768
"253","H0CT02207","C00713826",238817
"254","H0CT03072","C00238865",234918
"255","H0CT03106","C00467969",235115
"256","H0CT03155","C00734251",238216
"257","H0CT03163","C00748400",237241
"258","H0CT04195","C00715508",237369
"259","H0CT04203","C00730424",237663
"260","H0CT04203","C00799213",244560
"261","H0CT04211","C00733279",237317
"262","H0CT04211","C00744722",238112
"263","H0CT04211","C00733147",238714
"264","H0CT04229","C00790352",244561
"265","H0CT05200","C00710681",237494
"266","H0DC00058","C00244335",234902
"267","H0DC00249","C00761817",238317
"268","H0DC01015","C00719930",237355
"269","H0DC01023","C00742684",237896
"270","H0DE01017","C00460899",235088
"271","H0DE01074","C00745885",239155
"272","H0FL01138","C00735977",238410
"273","H0FL01146","C00774745",240301
"274","H0FL01146","C00740340",239226
"275","H0FL01153","C00746636",238297
"276","H0FL02086","C00460261",235104
"277","H0FL02110","C00493783",235134
"278","H0FL02193","C00718379",237728
"279","H0FL03118","C00481739",235181
"280","H0FL03159","C00703520",236383
"281","H0FL03167","C00730036",238519
"282","H0FL03175","C00730895",239160
"283","H0FL03183","C00732719",239235
"284","H0FL03209","C00733873",238191
"285","H0FL03233","C00737379",238780
"286","H0FL03241","C00737437",238784
"287","H0FL03258","C00740050",237293
"288","H0FL03266","C00743500",238875
"289","H0FL03274","C00749945",237703
"290","H0FL03282","C00696179",236309
"291","H0FL04033","C00346767",234882
"292","H0FL04124","C00635136",236711
"293","H0FL04132","C00698829",236971
"294","H0FL04140","C00716399",237764
"295","H0FL04140","C00789396",241918
"296","H0FL04140","C00789503",241920
"297","H0FL04157","C00726968",238074
"298","H0FL04165","C00732495",238539
"299","H0FL05147","C00724005",237855
