"","Candidate","CAND_ID","Committee_ID_Grabbed","State_processed"
"130","Lucy McBath","H8GA06393","","GA"
"131","Darrius Butler","H2GA08095","","GA"
"132","Michael ""Mike"" Ford","H2GA09234","","GA"
"133","Tabitha Johnson-Green","H8GA10197","","GA"
"134","Antonio Daza","H2GA11230","","GA"
"135","Elizabeth ""Liz"" Johnson","H0GA12059","","GA"
"136","David Scott","H2GA13012","","GA"
"137","Marcus Flowers","H2GA14044","","GA"
"138","Melanie Ann Stansbury","H2NM01144","","NM"
"139","Gabriel Vasquez","H2NM02191","","NM"
"140","Teresa Leger Fernandez","H0NM03102","","NM"
"141","Dianne Black","H2MS01148","","MS"
"142","Bennie G. Thompson","H4MS02068","","MS"
"143","Shuwaski A. Young","H2MS03136","","MS"
"144","Johnny L. DuPree ","H2MS04332","","MS"
"145","Monica Tranel","H2MT02092","","MT"
"146","Penny Ronning","H2MT02134","","MT"
"147","Michael Franken","S2IA00172","","IA"
"148","Christina Bohannan","H2IA02111","","IA"
"149","Liz Mathis","H2IA01089","","IA"
"150","Cindy Axne","H8IA03124","","IA"
"151","Ryan Melton","H2IA04141","","IA"
"152","Brian L. Bengs","S2SD00126","","SD"
"153","Donald W. Norcross","H4NJ01084","","NJ"
"154","Tim Alexander","H2NJ02193","","NJ"
"155","Andy Kim","H8NJ03206","","NJ"
"156","Matthew Jenkins","H2NJ04215","","NJ"
"157","Josh Gottheimer","H6NJ05171","","NJ"
"158","Frank Pallone Jr.","H8NJ03073","","NJ"
"159","Tom Malinowski","H8NJ07223","","NJ"
"160","Robert J. Menendez","H2NJ08232","","NJ"
"161","Bill Pascrell Jr.","H6NJ08118","","NJ"
"162","Donald M. Payne Jr.","H2NJ10154","","NJ"
"163","Mikie Sherrill","H8NJ11142","","NJ"
"164","Bonnie Watson Coleman","H4NJ12149","","NJ"
"165","Alex Padilla","S2CA00955","","CA"
"166","Max Steiner","H2CA01227","","CA"
"167","Jared Huffman","H2CA06259","","CA"
"168","Kermit Jones","H2CA04122","","CA"
"169","Mike Thompson","H8CA01109","","CA"
"170","Michael J. ""Mike"" Barkley","H2CA00096","","CA"
"171","Ami Bera","H0CA03078","","CA"
"172","Doris Matsui","H6CA05195","","CA"
"173","John Garamendi","H0CA10149","","CA"
"174","Josh Harder","H8CA10126","","CA"
"175","Mark DeSaulnier","H0CA10073","","CA"
"176","Nancy Pelosi","H8CA05035","","CA"
"177","Barbara Lee","H8CA09060","","CA"
"178","Adam Gray","H2CA13115","","CA"
"179","Eric Swalwell","H2CA15094","","CA"
"180","David J. Canepa","H2CA14170","","CA"
"181","Kevin Mullin","H2CA14162","","CA"
"182","Anna G. Eshoo","H8CA12098","","CA"
"183","Rishi Kumar","H0CA18068","","CA"
"184","Ro Khanna","H4CA12055","","CA"
"185","Zoe Lofgren","H4CA16049","","CA"
"186","Jimmy Panetta","H6CA20152","","CA"
"187","Marisa Wood","H2CA23155","","CA"
"188","Jim Costa","H4CA20082","","CA"
"189","Rudy Salas","H2CA21233","","CA"
"190","Derek Marshall","H2CA08214","","CA"
"191","Salud Carbajal","H6CA24303","","CA"
"192","Raul Ruiz","H2CA36439","","CA"
"193","Julia Brownley","H2CA00120","","CA"
"194","Christy Smith","H0CA25154","","CA"
"195","Judy Chu","H0CA32101","","CA"
"196","Tony Cardenas","H2CA28113","","CA"
"197","Angélica María Dueñas","H8CA29100","","CA"
"198","G ""Maebe A. Girl"" Pudlo","H0CA28174","","CA"
"199","Adam B. Schiff","H0CA27085","","CA"
"200","Grace F. Napolitano","H8CA34068","","CA"
"201","Brad Sherman","H6CA24113","","CA"
"202","Pete Aguilar","H2CA31125","","CA"
"203","Jimmy Gomez","H8CA34266","","CA"
"204","David Kim","H0CA34131","","CA"
"205","Norma J. Torres","H4CA35031","","CA"
"206","Ted W. Lieu","H4CA33119","","CA"
"207","Sydney Kamlager","H2CA37304","","CA"
"208","Jan C. Perry","H2CA37312","","CA"
"209","Linda T. Sánchez","H2CA39078","","CA"
"210","Mark Takano","H2CA43245","","CA"
"211","Asif Mahmood","H2CA40092","","CA"
"212","Will Rollins","H2CA42205","","CA"
"213","Robert Garcia","H2CA47188","","CA"
"214","Maxine Waters","H4CA23011","","CA"
"215","Nanette Diaz Barragan","H6CA44103","","CA"
"216","Jay F. Chen","H2CA39136","","CA"
"217","Lou Correa","H6CA46116","","CA"
"218","Katie Porter","H8CA45130","","CA"
"219","Stephen Houlahan","H2CA50174","","CA"
"220","Mike Levin","H8CA49058","","CA"
"221","Scott Peters","H2CA52089","","CA"
"222","Sara Jacobs","H8CA49074","","CA"
"223","Juan Vargas","H2CA50026","","CA"
"224","Jennifer Lewis","H8VA06138","","VA"
"225","Chellie Pingree","H8ME01120","","ME"
"226","Jared Golden","H8ME02185","","ME"
"227","Catherine Cortez Masto","S6NV00200","","NV"
"228","Dina Titus","H8NV03036","","NV"
"229","Elizabeth Mercedes Krause","H2NV02551","","NV"
"230","Susie Lee","H6NV04020","","NV"
"231","Steven A. Horsford","H2NV04011","","NV"
"232","Krystle Matthews","S2SC00103","","SC"
"233","Annie Andrews","H2SC01127","","SC"
"234","Judd Larkins","H2SC02182","","SC"
"235","Ken Hill","H2SC04170","","SC"
"236","Evangeline Hundley","H2SC05102","","SC"
"237","James E. ""Jim"" Clyburn","H2SC02042","","SC"
"238","Daryl W. Scott","H2SC07314","","SC"
"239","Katrina Christiansen","S2ND00123","","ND"
"240","Mark Haugen","H2ND01014","","ND"
"241","Herbert C. ""Herb"" Jones Jr.","H2VA01124","","VA"
"242","Elaine G. Luria","H8VA02111","","VA"
"243","Robert C. ""Bobby"" Scott","H6VA01117","","VA"
"244","A. Donald McEachin","H6VA04061","","VA"
"245","Joshua M. Throneburg","H2VA05091","","VA"
"246","Abigail A. Spanberger","H8VA07094","","VA"
"247","Donald S. Beyer Jr.","H4VA08224","","VA"
"248","Jennifer T. Wexton","H8VA10106","","VA"
"249","Gerald E. ""Gerry"" Connolly","H8VA11062","","VA"
"250","Michael Bennet","S0CO00211","","CO"
"251","Diana DeGette","H6CO01141","","CO"
"252","Joe Neguse","H8CO02160","","CO"
"253","Adam Frisch","H2CO03351","","CO"
"254","Ike McCorkle","H0CO04197","","CO"
"255","David Torres","H8PA02110","","CO"
"256","Jason Crow","H8CO06229","","CO"
"257","Brittany Pettersen","H8CO07045","","CO"
"258","Yadira Caraveo","H2CO08020","","CO"
"259","Tammy Duckworth","S6IL00292","","IL"
"260","Jonathan L. Jackson","H2IL01349","","IL"
"261","Robin Kelly","H2IL02172","","IL"
"262","Delia Ramirez","H2IL03162","","IL"
"263","Jesus ""Chuy"" Garcia","H8IL04134","","IL"
"264","Mike Quigley","H0IL05096","","IL"
"265","Sean Casten","H8IL06139","","IL"
"266","Danny K. Davis","H4IL07037","","IL"
"267","Raja Krishnamoorthi","H6IL08147","","IL"
"268","Janice D. Schakowsky","H8IL09067","","IL"
"269","Brad Schneider","H2IL10068","","IL"
"270","Bill Foster","H8IL14067","","IL"
"271","Homer ""Chip"" Markel","H2IL12197","","IL"
"272","Nikki Budzinski","H2IL13153","","IL"
"273","Lauren Underwood","H8IL14174","","IL"
"274","Paul J. Lange","H2IL15109","","IL"
"275","Eric Sorensen","H2IL17147","","IL"
"276","Charles E. Schumer","S8NY00082","","NY"
"277","Madison Horn","S2OK00152","","OK"
"278","Kendra Horn","S2OK00228","","OK"
"279","Adam Martin","H2OK01176","","OK"
"280","Naomi Andrews","H2OK02307","","OK"
"281","Jeremiah A. Ross","H2OK03149","","OK"
"282","Mary Brannon","H8OK04094","","OK"
"283","Joshua Harris-Till","H2OK05169","","OK"
"284","Rick Edwin Jones","H2UT01300","","UT"
"285","Nick Mitchell","H2UT02464","","UT"
"286","Glenn J. Wright","H2UT03306","","UT"
"287","Darlene McDonald","H8UT04046","","UT"
"288","Chris Van Hollen","S6MD03441","","MD"
"289","Heather R. Mizeur","H2MD01220","","MD"
"290","C.A. Dutch Ruppersberger","H2MD02160","","MD"
"291","John Sarbanes","H6MD03292","","MD"
