"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"22","Maclovio Perez Jr.","Male","Latino","","","No","No","Texas","3/1/22","Representative","27","13,044","59%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"22"
"23","Henry Cuellar","Male","Latino (Mexican)","","","Yes","No","Texas","3/1/22","Representative","28","23,988","49%","Made runoff","22,895","50%","Won","No","No","No","No","No","No","No","No","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"23"
"24","Sylvia Garcia","Female","Latino (Mexican)","","","Yes","No","Texas","3/1/22","Representative","29","19,402","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"24"
"25","Jasmine Crockett","Female","Black","","","No","No","Texas","3/1/22","Representative","30","26,798","48%","Made runoff","17,462","61%","Won","N/A","N/A","N/A","N/A","Yes","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"25"
"26","Colin Allred","Male","Black","","","Yes","No","Texas","3/1/22","Representative","32","31,805","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"26"
"27","Marc Veasey","Male","Black","","","Yes","No","Texas","3/1/22","Representative","33","16,806","70%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"27"
"28","Vicente Gonzalez","Male","Latino","","","Yes","No","Texas","3/1/22","Representative","34","23,531","65%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"28"
"29","Greg Casar","Male","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","35","25,505","61%","Won","N/A","N/A","N/A","N/A","Yes","Yes","N/A","Yes","Yes","Yes","Yes","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"29"
"30","Jon Haire","Male","White","","","No","No","Texas","3/1/22","Representative","36","16,589","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"30"
"31","Lloyd Doggett","Male","White","","","Yes","No","Texas","3/1/22","Representative","37","60,007","79%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"31"
"32","Duncan F. Klussmann","Male","White","","","No","No","Texas","3/1/22","Representative","38","8,698","39%","Made runoff","6,449","61%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"32"
"33","Thomas M. McDermott Jr.","Male","White","","","No","No","Indiana","5/3/22","Senator","N/A","173,466","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"33"
"34","Frank J. Mrvan","Male","White","","","Yes","No","Indiana","5/3/22","Representative","1","34,489","86%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"34"
