"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"203","Jimmy Gomez","Male","Latino (Mexican)","","","Yes","No","California","6/7/22","Representative","34","45,376","57%","Made runoff","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"203"
"204","David Kim","Male","Asian (Korean)","","","No","Yes","California","6/7/22","Representative","34","34,921","43%","Made runoff","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"204"
"205","Norma J. Torres","Female","Latino (Guatemalan)","","","Yes","No","California","6/7/22","Representative","35","37,554","93%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"205"
"206","Ted W. Lieu","Male","Asian (Taiwanese)","","","Yes","No","California","6/7/22","Representative","36","122,969","95%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"206"
"207","Sydney Kamlager","Female","Black","White","","No","No","California","6/7/22","Representative","37","42,628","48%","Made runoff","","","","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"207"
"208","Jan C. Perry","Female","Black","","","No","No","California","6/7/22","Representative","37","17,993","20%","Made runoff","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"208"
"209","Linda T. Sánchez","Female","Latino (Mexican)","","","Yes","No","California","6/7/22","Representative","38","58,586","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"209"
"210","Mark Takano","Male","Asian (Japanese)","","","Yes","No","California","6/7/22","Representative","39","44,067","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"210"
"211","Asif Mahmood","Male","Asian (Pakistani)","","","No","No","California","6/7/22","Representative","40","74,607","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"211"
"212","Will Rollins","Male","White","","","No","No","California","6/7/22","Representative","41","45,923","66%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"212"
"213","Robert Garcia","Male","Latino (Peruvian)","","","No","No","California","6/7/22","Representative","42","43,406","66%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"213"
"214","Maxine Waters","Female","Black","","","Yes","No","California","6/7/22","Representative","43","55,889","95%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"214"
"215","Nanette Diaz Barragan","Female","Latino (Mexican)","","","Yes","No","California","6/7/22","Representative","44","58,594","91%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"215"
"216","Jay F. Chen","Male","Asian (Taiwanese)","","","No","No","California","6/7/22","Representative","45","58,721","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"216"
"217","Lou Correa","Male","Latino (Mexican)","","","Yes","No","California","6/7/22","Representative","46","37,311","80%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"217"
"218","Katie Porter","Female","White","","","Yes","No","California","6/7/22","Representative","47","86,742","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"218"
"219","Stephen Houlahan","Male","White","","","No","No","California","6/7/22","Representative","48","45,740","75%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"219"
"220","Mike Levin","Male","White","","","Yes","No","California","6/7/22","Representative","49","92,211","95%","Won","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"220"
"221","Scott Peters","Male","White","","","Yes","No","California","6/7/22","Representative","50","89,894","85%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"221"
"222","Sara Jacobs","Female","White","","","Yes","No","California","6/7/22","Representative","51","91,329","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"222"
"223","Juan Vargas","Male","Latino (Mexican)","","","Yes","No","California","6/7/22","Representative","52","56,827","85%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"223"
"224","Jennifer Lewis","Female","White","","","No","No","Virginia","6/11/22","Representative","6","N/A","N/A","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"224"
"225","Chellie Pingree","Female","White","","","Yes","No","Maine","6/14/22","Representative","1","43,007","94%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"225"
"226","Jared Golden","Male","White","","","Yes","No","Maine","6/14/22","Representative","2","25,684","90%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"226"
"227","Catherine Cortez Masto","Female","White","Latino (Mexican)","","Yes","No","Nevada","6/14/22","Senator","N/A","159,694","91%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"227"
"228","Dina Titus","Female","White","","","Yes","No","Nevada","6/14/22","Representative","1","33,565","80%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"228"
"229","Elizabeth Mercedes Krause","Female","Native American (Lakota)","","","No","No","Nevada","6/14/22","Representative","2","22,072","49%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"229"
"230","Susie Lee","Female","White","","","Yes","No","Nevada","6/14/22","Representative","3","37,069","90%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"230"
"231","Steven A. Horsford","Male","Black","","","Yes","No","Nevada","6/14/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"231"
"232","Krystle Matthews","Female","Black","","","No","No","South Carolina","6/14/22","Senator","N/A","57,278","33%","Made runoff","25300","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"232"
"233","Annie Andrews","Female","White","","","No","No","South Carolina","6/14/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"233"
"234","Judd Larkins","Male","White","","","No","No","South Carolina","6/14/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"234"
"235","Ken Hill","Male","White","","","No","No","South Carolina","6/14/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"235"
"236","Evangeline Hundley","Female","Black","","","No","No","South Carolina","6/14/22","Representative","5","11,257","58%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"236"
"237","James E. ""Jim"" Clyburn","Male","Black","","","Yes","No","South Carolina","6/14/22","Representative","6","48,729","88%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"237"
"238","Daryl W. Scott","Male","Black","","","No","No","South Carolina","6/14/22","Representative","7","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"238"
"239","Katrina Christiansen","Female","White","","","No","No","North Dakota","6/14/22","Senator","N/A","17,187","77%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"239"
"240","Mark Haugen","Male","White","","","No","No","North Dakota","6/14/22","Representative","At-Large","21,897","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"240"
"241","Herbert C. ""Herb"" Jones Jr.","Male","Black","","","No","No","Virginia","6/21/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"241"
"242","Elaine G. Luria","Female","White","","","Yes","No","Virginia","6/21/22","Representative","2","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"242"
"243","Robert C. ""Bobby"" Scott","Male","Black","","","Yes","No","Virginia","6/21/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"243"
"244","A. Donald McEachin","Male","Black","","","Yes","No","Virginia","6/21/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"244"
"245","Joshua M. Throneburg","Male","White","","","No","No","Virginia","6/21/22","Representative","5","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"245"
"246","Abigail A. Spanberger","Female","White","","","Yes","No","Virginia","6/21/22","Representative","7","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"246"
"247","Donald S. Beyer Jr.","Male","White","","","Yes","No","Virginia","6/21/22","Representative","8","39,062","77%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"247"
"248","Jennifer T. Wexton","Female","White","","","Yes","No","Virginia","6/21/22","Representative","10","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"248"
"249","Gerald E. ""Gerry"" Connolly","Male","White","","","Yes","No","Virginia","6/21/22","Representative","11","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"249"
"250","Michael Bennet","Male","Unknown","","","Yes","No","Colorado","6/28/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"250"
"251","Diana DeGette","Female","White","","","Yes","No","Colorado","6/28/22","Representative","1","79,391","81%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"251"
"252","Joe Neguse","Male","Black","","","Yes","No","Colorado","6/28/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"252"
"253","Adam Frisch","Male","White","","","No","No","Colorado","6/28/22","Representative","3","25,751","42%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"253"
"254","Ike McCorkle","Male","White","","","No","No","Colorado","6/28/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"254"
"255","David Torres","Male","Latino (Puerto Rican)","","","No","No","Colorado","6/28/22","Representative","5","24,413","55%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"255"
"256","Jason Crow","Male","White","","","Yes","No","Colorado","6/28/22","Representative","6","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"256"
"257","Brittany Pettersen","Female","White","","","No","No","Colorado","6/28/22","Representative","7","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"257"
"258","Yadira Caraveo","Female","Latino (Mexican)","","","No","No","Colorado","6/28/22","Representative","8","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"258"
"259","Tammy Duckworth","Female","Asian (Thai)","White","","Yes","No","Illinois","6/28/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"259"
"260","Jonathan L. Jackson","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","21,607","28%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"260"
"261","Robin Kelly","Female","Black","","","Yes","No","Illinois","6/28/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"261"
"262","Delia Ramirez","Female","Latino (Guatemalan)","","","No","No","Illinois","6/28/22","Representative","3","37,296","66%","Won","N/A","N/A","N/A","Yes","N/A","Yes","N/A","Yes","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"262"
"263","Jesus ""Chuy"" Garcia","Male","Latino (Mexican)","","","Yes","No","Illinois","6/28/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"263"
"264","Mike Quigley","Male","White","","","Yes","No","Illinois","6/28/22","Representative","5","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"264"
"265","Sean Casten","Male","White","","","Yes","Yes","Illinois","6/28/22","Representative","6","45,654","68%","Won","N/A","N/A","N/A","No","No","No","No","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"265"
"266","Danny K. Davis","Male","Black","","","Yes","No","Illinois","6/28/22","Representative","7","39,320","52%","Won","N/A","N/A","N/A","N/A","No","No","N/A","N/A","No","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"266"
"267","Raja Krishnamoorthi","Male","Asian (Indian)","","","Yes","No","Illinois","6/28/22","Representative","8","29,933","70%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"267"
"268","Janice D. Schakowsky","Female","White","","","Yes","No","Illinois","6/28/22","Representative","9","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"268"
"269","Brad Schneider","Male","White","","","Yes","No","Illinois","6/28/22","Representative","10","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"269"
"270","Bill Foster","Male","White","","","Yes","No","Illinois","6/28/22","Representative","11","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"270"
"271","Homer ""Chip"" Markel","Male","White","","","No","No","Illinois","6/28/22","Representative","12","11,068","57%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"271"
"272","Nikki Budzinski","Female","White","","","No","No","Illinois","6/28/22","Representative","13","31,593","76%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"272"
"273","Lauren Underwood","Female","Black","","","Yes","No","Illinois","6/28/22","Representative","14","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"273"
"274","Paul J. Lange","Male","White","","","No","No","Illinois","6/28/22","Representative","15","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"274"
"275","Eric Sorensen","Male","White","","","No","No","Illinois","6/28/22","Representative","17","14,702","38%","Won","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"275"
"276","Charles E. Schumer","Male","White","","","Yes","No","New York","6/28/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"276"
"277","Madison Horn","Female","Native American (Cherokee)","White","","No","No","Oklahoma","6/28/22","Senator","N/A","60,691","37%","Made runoff","60929","65%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"277"
"278","Kendra Horn","Female","White","","","No","No","Oklahoma","6/28/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"278"
"279","Adam Martin","Male","Black","","","No","No","Oklahoma","6/28/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"279"
"280","Naomi Andrews","Female","White","","","No","No","Oklahoma","6/28/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"280"
"281","Jeremiah A. Ross","Male","White","","","No","No","Oklahoma","6/28/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"281"
"282","Mary Brannon","Female","White","","","No","No","Oklahoma","6/28/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"282"
"283","Joshua Harris-Till","Male","Black","","","No","No","Oklahoma","6/28/22","Representative","5","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"283"
"284","Rick Edwin Jones","Male","White","","","No","No","Utah","6/28/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"284"
"285","Nick Mitchell","Male","Black","","","No","No","Utah","6/28/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"285"
"286","Glenn J. Wright","Male","White","","","No","No","Utah","6/28/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"286"
"287","Darlene McDonald","Female","Black","","","No","No","Utah","6/28/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"287"
"288","Chris Van Hollen","Male","White","","","Yes","No","Maryland","7/19/22","Senator","N/A","535,014","81%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"288"
"289","Heather R. Mizeur","Female","White","","","No","No","Maryland","7/19/22","Representative","1","34,549","69%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"289"
"290","C.A. Dutch Ruppersberger","Male","White","","","Yes","No","Maryland","7/19/22","Representative","2","62,896","75%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"290"
"291","John Sarbanes","Male","White","","","Yes","No","Maryland","7/19/22","Representative","3","63,790","85%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"291"
"292","Glenn F. Ivey","Male","Black","","","No","No","Maryland","7/19/22","Representative","4","42,791","52%","Won","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"292"
"293","Steny Hoyer","Male","White","","","Yes","No","Maryland","7/19/22","Representative","5","68,729","71%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"293"
"294","David J. Trone","Male","White","","","Yes","No","Maryland","7/19/22","Representative","6","44,370","79%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"294"
"295","Kweisi Mfume","Male","Black","","","Yes","No","Maryland","7/19/22","Representative","7","80,118","85%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"295"
"296","Jamie Raskin","Male","White","","","Yes","No","Maryland","7/19/22","Representative","8","109,055","94%","Won","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"296"
"297","Mark Kelly","Male","White","","","Yes","No","Arizona","8/2/22","Senator","N/A","589,400","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"297"
"298","Jevin D. Hodge","Male","Black","","","No","No","Arizona","8/2/22","Representative","1","46,144","62%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"298"
"299","Tom O'Halleran","Male","White","","","Yes","No","Arizona","8/2/22","Representative","2","71,391","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"299"
"300","Ruben Gallego","Male","Latino","","","Yes","No","Arizona","8/2/22","Representative","3","47,972","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"300"
"301","Greg Stanton","Male","White","","","Yes","No","Arizona","8/2/22","Representative","4","61,319","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"301"
"302","Javier Garcia Ramos","Male","Latino","","","No","No","Arizona","8/2/22","Representative","5","50,647","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"302"
