"","DRA.Office","ID","State","Dem.2020.Pres.%","Rep.2020.Pres.%","Dem.Comp.%","Rep.Comp.%","2020.White.%","Dem-Rep.2020","Dem-Rep.Comp"
"1","Representative","At-Large","AK",0.430065246148296,0.531228937631618,0.417604374155294,0.527586302441067,0.575079323307758,-0.101163691483322,-0.109981928285773
"2","Representative","At-Large","DE",0.587821670204956,0.398013928295074,0.586973399256323,0.392182768311563,0.585738846888928,0.189807741909883,0.19479063094476
"3","Representative","At-Large","MT",0.405516533032934,0.569216751706315,0.426528960312301,0.55094822196205,0.831301620973506,-0.163700218673381,-0.124419261649749
"4","Representative","At-Large","ND",0.317774512187037,0.65120268269507,0.290716216536647,0.669012164180874,0.816538184095886,-0.333428170508033,-0.378295947644227
"5","Representative","At-Large","SD",0.356052521361353,0.617693896722502,0.366747796804084,0.621479338798374,0.795770001590225,-0.26164137536115,-0.25473154199429
"6","Representative","At-Large","VT",0.66086416930664,0.306737646559326,0.580605809229868,0.370335354323985,0.891341161322828,0.354126522747314,0.210270454905884
"7","Representative","At-Large","WY",0.265535743320145,0.699362274854118,0.263994468370261,0.694501235653402,0.814185985635805,-0.433826531533973,-0.430506767283142
"8","Representative","1","AL",0.352411650082792,0.634643474654575,0.386418907664119,0.604064333438211,0.634309248015337,-0.282231824571782,-0.217645425774093
"9","Representative","2","AL",0.347080345473997,0.64078626837553,0.367428914108555,0.624812832611065,0.593715125634792,-0.293705922901532,-0.25738391850251
"10","Representative","3","AL",0.323725914516022,0.663986039317968,0.352228642260063,0.639298476842754,0.659427881976276,-0.340260124801945,-0.287069834582691
"11","Representative","4","AL",0.185735389923199,0.802369788560295,0.223576695296741,0.768514262487512,0.799251554153652,-0.616634398637096,-0.54493756719077
"12","Representative","5","AL",0.354881510026075,0.624780787779496,0.379210120775544,0.605092642368204,0.684153623664933,-0.269899277753421,-0.22588252159266
"13","Representative","6","AL",0.342273991967151,0.640905827181547,0.363820002289362,0.622221623696242,0.684699771788106,-0.298631835214396,-0.25840162140688
"14","Representative","7","AL",0.65488557226098,0.334368675597513,0.680261119794125,0.31321787838419,0.362879203738328,0.320516896663467,0.367043241409935
"15","Representative","1","AR",0.28074702223214,0.689810036542163,0.291143187568334,0.681776020019498,0.732924124495521,-0.409063014310023,-0.390632832451165
"16","Representative","2","AR",0.42113133217832,0.552376434132734,0.406029295033142,0.565598350034261,0.66272269532755,-0.131245101954414,-0.159569055001119
"17","Representative","3","AR",0.367927293072327,0.602096751633508,0.344755034565675,0.622059544713904,0.676866887319624,-0.234169458561181,-0.277304510148229
"18","Representative","4","AR",0.310015988654076,0.662482188371766,0.317709273635434,0.658448426310405,0.668384487296272,-0.35246619971769,-0.340739152674971
"19","Representative","1","AZ",0.501017907389878,0.486261491979927,0.474840500166671,0.509097110785522,0.698901726756866,0.0147564154099508,-0.0342566106188515
"20","Representative","2","AZ",0.452884563235562,0.531685574965117,0.44420337960169,0.53347917923959,0.552800612122646,-0.0788010117295547,-0.0892757996378998
"21","Representative","3","AZ",0.745059426300931,0.238816179289673,0.741594707245952,0.235805052481965,0.195664047358963,0.506243247011258,0.505789654763986
"22","Representative","4","AZ",0.541626052162487,0.438768586184427,0.517587474238229,0.457929332526159,0.551566741462175,0.10285746597806,0.0596581417120702
"23","Representative","5","AZ",0.410393629865277,0.57405233705755,0.395640558102674,0.585029548979484,0.670568780738272,-0.163658707192273,-0.189388990876811
"24","Representative","6","AZ",0.492777751024461,0.492076049742824,0.471336039428568,0.509153448641247,0.631386930208618,0.000701701281636713,-0.0378174092126785
"25","Representative","7","AZ",0.656406438441999,0.32875738608418,0.655145095507761,0.32333893623175,0.284554329099396,0.32764905235782,0.33180615927601
"26","Representative","8","AZ",0.425351132324061,0.560740298804286,0.408036806633981,0.573093081365726,0.642959439221757,-0.135389166480225,-0.165056274731745
"27","Representative","9","AZ",0.364020374859998,0.621557064192917,0.355688510324857,0.627106404335754,0.574633909379672,-0.257536689332919,-0.271417894010897
"28","Representative","1","CA",0.392715499565545,0.58267113643598,0.377523200963272,0.601808871268433,0.61508701532087,-0.189955636870435,-0.224285670305161
"29","Representative","2","CA",0.735215270212665,0.240439539620139,0.721992606877041,0.254731211908564,0.647503454184068,0.494775730592526,0.467261394968477
"30","Representative","3","CA",0.478769959673774,0.496609341941084,0.452717740738909,0.525330959328684,0.690523521180179,-0.0178393822673104,-0.0726132185897753
"31","Representative","4","CA",0.670602662553953,0.304962032366203,0.656993114393222,0.320759848465457,0.513029692721696,0.36564063018775,0.336233265927765
"32","Representative","5","CA",0.427239299309987,0.550583492573504,0.414006626713259,0.567899669871389,0.592070691886381,-0.123344193263517,-0.15389304315813
"33","Representative","6","CA",0.578625051758592,0.394388468485769,0.565985567793392,0.410296240030384,0.471962258665574,0.184236583272823,0.155689327763008
"34","Representative","7","CA",0.674385853264745,0.302671663514174,0.668840756243587,0.312267918706029,0.314004379253944,0.37171418975057,0.356572837537557
"35","Representative","8","CA",0.759541806571671,0.219540126155675,0.757475187940254,0.224900850417316,0.239595329589512,0.540001680415996,0.532574337522937
"36","Representative","9","CA",0.552351756153105,0.426252080231234,0.538947387416651,0.443647420801415,0.287381451362087,0.126099675921871,0.095299966615236
"37","Representative","10","CA",0.686328394084627,0.292663921011105,0.659589323877987,0.32035044686225,0.476591087856092,0.393664473073522,0.339238877015737
"38","Representative","11","CA",0.862858449112291,0.117314774834269,0.866086019113457,0.115547722327267,0.432195017861094,0.745543674278022,0.75053829678619
