"","FEC_index","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ID","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","Last_Name_FEC","CAND_PTY_AFFILIATION_processed"
"2430","2430","DICKINSON, SPENCER E","DEM","H2RI02069","RI","2","DICKINSON","DEM"
"2431","2431","PACHECO, EDWIN","DEM","H2RI02150","RI","2","PACHECO","DEM"
"2432","2432","FOX, JOY","DEM","H2RI02176","RI","2","FOX","DEM"
"2433","2433","MAGAZINER, SETH","DEM","H2RI02184","RI","2","MAGAZINER","DEM"
"2434","2434","BAH, OMAR","DEM","H2RI02218","RI","2","BAH","DEM"
"2435","2435","SEGAL, DAVID","DEM","H2RI02234","RI","2","SEGAL","DEM"
"2436","2436","MORGENTHAU, SARAH","DEM","H2RI02242","RI","2","MORGENTHAU","DEM"
"2437","2437","LANCIA, BOB","REP","H0RI02287","RI","2","LANCIA","GOP"
"2438","2438","DE LA CRUZ, JESSICA","REP","H2RI02168","RI","2","DE","GOP"
"2439","2439","FUNG, ALLAN","REP","H2RI02226","RI","2","FUNG","GOP"
"2440","2440","CINGOLANI, REBECCA NIESS","DEM","H2SC01101","SC","1","CINGOLANI","DEM"
"2441","2441","ANDREWS, ANNIE DR.","DEM","H2SC01127","SC","1","ANDREWS","DEM"
"2442","2442","COLBERT BUSCH, ELIZABETH","DEM","H4SC01172","SC","1","COLBERT","DEM"
"2443","2443","CUNNINGHAM, JOE","DEM","H8SC01116","SC","1","CUNNINGHAM","DEM"
"2444","2444","COVERT, MICHAEL","REP","H0SC01360","SC","1","COVERT","GOP"
"2445","2445","MACE, NANCY","REP","H0SC01394","SC","1","MACE","GOP"
"2446","2446","COX, CHRIS","REP","H0SC01402","SC","1","COX","GOP"
"2447","2447","PIPER-LOOMIS, LYNZ","REP","H2SC01077","SC","1","PIPER-LOOMIS","GOP"
"2448","2448","CENTURION, INGRID","REP","H2SC01085","SC","1","CENTURION","GOP"
"2449","2449","BLANDFORD, KEITH WARRICK","REP","H2SC01119","SC","1","BLANDFORD","GOP"
"2450","2450","ARRINGTON, KATIE","REP","H2SC01150","SC","1","ARRINGTON","GOP"
"2451","2451","SANFORD, MARSHALL C. HON.","REP","H4SC01073","SC","1","SANFORD","GOP"
"2452","2452","HORNE, JENNY A","REP","H6SC01151","SC","1","HORNE","GOP"
"2453","2453","OTMAN, ALEJANDRO ARIEL MR","IND","H2SC01135","SC","1","OTMAN","IND"
"2454","2454","BOROUGHS, ADAIR FORD","DEM","H0SC02061","SC","2","BOROUGHS","DEM"
"2455","2455","KARR, GREGORY BLANE","DEM","H2SC02166","SC","2","KARR","DEM"
"2456","2456","LARKINS, JUDDSON","DEM","H2SC02182","SC","2","LARKINS","DEM"
