"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women"
"550","Catherine Fleming Bruce","Female","Black","","","No","No","South Carolina","6/14/22","Senator","N/A","59,777","35%","Made runoff","20064","44%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"551","Angela Geter","Female","Black","","","No","No","South Carolina","6/14/22","Senator","N/A","55,281","32%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"552","Krystle Matthews","Female","Black","","","No","No","South Carolina","6/14/22","Senator","N/A","57,278","33%","Made runoff","25300","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"553","Annie Andrews","Female","White","","","No","No","South Carolina","6/14/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"554","Judd Larkins","Male","White","","","No","No","South Carolina","6/14/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"555","Ken Hill","Male","White","","","No","No","South Carolina","6/14/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"556","Kevin Eckert","Male","White","","","No","No","South Carolina","6/14/22","Representative","5","8,274","42%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"557","Evangeline Hundley","Female","Black","","","No","No","South Carolina","6/14/22","Representative","5","11,257","58%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"558","Michael Addison","Male","Black","","","No","Yes","South Carolina","6/14/22","Representative","6","4,203","8%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"559","James E. ""Jim"" Clyburn","Male","Black","","","Yes","No","South Carolina","6/14/22","Representative","6","48,729","88%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"560","Gregg ""Marcel"" Dixon","Male","Black","","","No","Yes","South Carolina","6/14/22","Representative","6","2,503","5%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"561","Daryl W. Scott","Male","Black","","","No","No","South Carolina","6/14/22","Representative","7","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"562","Carlton Boyd","Male","Black","","","No","No","South Carolina","6/14/22","Governor","N/A","9,579","5%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"563","Joe Cunningham","Male","White","","","No","No","South Carolina","6/14/22","Governor","N/A","102,473","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"564","Mia S. McLeod","Female","Black","","","No","No","South Carolina","6/14/22","Governor","N/A","56,406","31%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"565","Calvin ""C.J. Mack"" McMillan","Male","Black","","","No","No","South Carolina","6/14/22","Governor","N/A","6,303","3%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"566","William H. Williams","Male","Black","","","No","No","South Carolina","6/14/22","Governor","N/A","6,829","4%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"567","Katrina Christiansen","Female","White","","","No","No","North Dakota","6/14/22","Senator","N/A","17,187","77%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"568","Michael J. Steele","Male","White","","","No","No","North Dakota","6/14/22","Senator","N/A","5,174","23%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"569","Mark Haugen","Male","White","","","No","No","North Dakota","6/14/22","Representative","At-Large","21,897","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"570","Herbert C. ""Herb"" Jones Jr.","Male","Black","","","No","No","Virginia","6/21/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"571","Elaine G. Luria","Female","White","","","Yes","No","Virginia","6/21/22","Representative","2","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"572","Robert C. ""Bobby"" Scott","Male","Black","","","Yes","No","Virginia","6/21/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"573","A. Donald McEachin","Male","Black","","","Yes","No","Virginia","6/21/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"574","Joshua M. Throneburg","Male","White","","","No","No","Virginia","6/21/22","Representative","5","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"575","Abigail A. Spanberger","Female","White","","","Yes","No","Virginia","6/21/22","Representative","7","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"576","Donald S. Beyer Jr.","Male","White","","","Yes","No","Virginia","6/21/22","Representative","8","39,062","77%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"577","Victoria I. Virasingh","Female","Latino (Ecuadorian)","Asian (Indian)","","No","Yes","Virginia","6/21/22","Representative","8","11,583","23%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"578","Jennifer T. Wexton","Female","White","","","Yes","No","Virginia","6/21/22","Representative","10","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"579","Gerald E. ""Gerry"" Connolly","Male","White","","","Yes","No","Virginia","6/21/22","Representative","11","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"580","Michael Bennet","Male","Unknown","","","Yes","No","Colorado","6/28/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"581","Diana DeGette","Female","White","","","Yes","No","Colorado","6/28/22","Representative","1","79,391","81%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"582","Neal Walia","Male","Asian (Indian)","","","No","Yes","Colorado","6/28/22","Representative","1","18,472","19%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"583","Joe Neguse","Male","Black","","","Yes","No","Colorado","6/28/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"584","Soledad Sandoval Tafoya","Female","Latino","","","No","No","Colorado","6/28/22","Representative","3","25,462","42%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"585","Alex Walker","Male","White","","","No","No","Colorado","6/28/22","Representative","3","9,504","16%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"586","Adam Frisch","Male","White","","","No","No","Colorado","6/28/22","Representative","3","25,751","42%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"587","Ike McCorkle","Male","White","","","No","No","Colorado","6/28/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"588","David Torres","Male","Latino (Puerto Rican)","","","No","No","Colorado","6/28/22","Representative","5","24,413","55%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"589","Michael C. Colombe","Male","White","","","No","No","Colorado","6/28/22","Representative","5","20,237","45%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"590","Jason Crow","Male","White","","","Yes","No","Colorado","6/28/22","Representative","6","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"591","Brittany Pettersen","Female","White","","","No","No","Colorado","6/28/22","Representative","7","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"592","Yadira Caraveo","Female","Latino (Mexican)","","","No","No","Colorado","6/28/22","Representative","8","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"593","Jared Polis","Male","White","","","Yes","No","Colorado","6/28/22","Governor","N/A","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"594","Tammy Duckworth","Female","Asian (Thai)","White","","Yes","No","Illinois","6/28/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"595","Jacqueline ""Jacqui"" Collins","Female","Black","","","No","No","Illinois","6/28/22","Representative","1","9,299","12%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"596","Pat Dowell","Female","Black","","","No","No","Illinois","6/28/22","Representative","1","14,594","19%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"597","Cassandra Goodrum","Female","Black","","","No","No","Illinois","6/28/22","Representative","1","1,422","2%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"598","Jonathan L. Jackson","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","21,607","28%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"599","Michael A. Thompson Jr.","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","1,680","2%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"600","Jahmal Cole","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","4,045","5%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"601","Karin Norington-Reaves","Female","Black","","","No","No","Illinois","6/28/22","Representative","1","10,825","14%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"602","Chris Butler","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","4,141","5%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"603","Marcus Lewis","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","901","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"604","Terre Layng Rosner","Female","White","","","No","No","Illinois","6/28/22","Representative","1","780","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"605","Robert A. Palmer","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","899","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"606","Kirby Birgans","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","511","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"607","Steve DeJoie","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","251","0%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"608","Ameena Matthews","Female","Black","","","No","No","Illinois","6/28/22","Representative","1","686","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"609","Charise A. Williams","Female","Black","","","No","No","Illinois","6/28/22","Representative","1","1,601","2%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"610","Jonathan T. Swain","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","2,554","3%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"611","Nykea Pippion McGriff","Female","Black","","","No","No","Illinois","6/28/22","Representative","1","892","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"612","Robin Kelly","Female","Black","","","Yes","No","Illinois","6/28/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"613","Delia Ramirez","Female","Latino (Guatemalan)","","","No","No","Illinois","6/28/22","Representative","3","37,296","66%","Won","N/A","N/A","N/A","Yes","N/A","Yes","N/A","Yes","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"614","Gilbert ""Gil"" Villegas","Male","Latino","","","No","No","Illinois","6/28/22","Representative","3","12,990","23%","Lost","N/A","N/A","N/A","No","N/A","No","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"615","Juan Enrique Aguirre","Male","Latino","","","No","No","Illinois","6/28/22","Representative","3","2,175","4%","Lost","N/A","N/A","N/A","No","N/A","No","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"616","Iymen H. Chehade","Male","Middle Eastern (Palestinian)","","","No","No","Illinois","6/28/22","Representative","3","3,719","7%","Lost","N/A","N/A","N/A","No","N/A","No","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"617","Jesus ""Chuy"" Garcia","Male","Latino (Mexican)","","","Yes","No","Illinois","6/28/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"618","Mike Quigley","Male","White","","","Yes","No","Illinois","6/28/22","Representative","5","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"619","Marie Newman","Female","White","","","Yes","Yes","Illinois","6/28/22","Representative","6","19,726","29%","Lost","N/A","N/A","N/A","Yes","Yes","Yes","Yes","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"620","Sean Casten","Male","White","","","Yes","Yes","Illinois","6/28/22","Representative","6","45,654","68%","Won","N/A","N/A","N/A","No","No","No","No","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"621","Charles M. Hughes","Male","White","","","No","Yes","Illinois","6/28/22","Representative","6","2,085","3%","Lost","N/A","N/A","N/A","No","No","No","No","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"622","Danny K. Davis","Male","Black","","","Yes","No","Illinois","6/28/22","Representative","7","39,320","52%","Won","N/A","N/A","N/A","N/A","No","No","N/A","N/A","No","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"623","Kina Collins","Female","Black","","","No","Yes","Illinois","6/28/22","Representative","7","34,574","46%","Lost","N/A","N/A","N/A","N/A","Yes","Yes","N/A","N/A","Yes","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"624","Denarvis C. Mendenhall","Male","Black","","","No","Yes","Illinois","6/28/22","Representative","7","1,808","2%","Lost","N/A","N/A","N/A","N/A","No","No","N/A","N/A","No","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"625","Junaid Ahmed","Male","Asian","","","No","Yes","Illinois","6/28/22","Representative","8","12,627","30%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"626","Raja Krishnamoorthi","Male","Asian (Indian)","","","Yes","No","Illinois","6/28/22","Representative","8","29,933","70%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"627","Janice D. Schakowsky","Female","White","","","Yes","No","Illinois","6/28/22","Representative","9","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"628","Brad Schneider","Male","White","","","Yes","No","Illinois","6/28/22","Representative","10","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"629","Bill Foster","Male","White","","","Yes","No","Illinois","6/28/22","Representative","11","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"630","Homer ""Chip"" Markel","Male","White","","","No","No","Illinois","6/28/22","Representative","12","11,068","57%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"631","Joshua Qualls","Male","White","","","No","No","Illinois","6/28/22","Representative","12","8,438","43%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"632","Nikki Budzinski","Female","White","","","No","No","Illinois","6/28/22","Representative","13","31,593","76%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"633","David Palmer","Male","Black","","","No","No","Illinois","6/28/22","Representative","13","10,216","24%","Lost","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"634","Lauren Underwood","Female","Black","","","Yes","No","Illinois","6/28/22","Representative","14","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"635","Paul J. Lange","Male","White","","","No","No","Illinois","6/28/22","Representative","15","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"636","Litesa Wallace","Female","Black","","","No","No","Illinois","6/28/22","Representative","17","9,103","23%","Lost","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Yes","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"637","Eric Sorensen","Male","White","","","No","No","Illinois","6/28/22","Representative","17","14,702","38%","Won","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"638","Angie Normoyle","Female","White","","","No","No","Illinois","6/28/22","Representative","17","4,818","12%","Lost","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"639","Marsha Williams","Female","White","","","No","No","Illinois","6/28/22","Representative","17","2,701","7%","Lost","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"640","Jonathan Klarer Logemann","Male","White","","","No","No","Illinois","6/28/22","Representative","17","5,628","14%","Lost","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"641","Jacqueline McGowan","Female","White","","","No","No","Illinois","6/28/22","Representative","17","2,040","5%","Lost","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"642","J.B. Pritzker","Male","White","","","Yes","No","Illinois","6/28/22","Governor","N/A","810,989","92%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"643","Beverly Miles","Female","Black","","","No","Yes","Illinois","6/28/22","Governor","N/A","71,704","8%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"644","Charles E. Schumer","Male","White","","","Yes","No","New York","6/28/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"645","Kathy C. Hochul","Female","White","","","Yes","No","New York","6/28/22","Governor","N/A","607,928","67%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","No","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"646","Thomas R. Suozzi","Male","White","","","No","Yes","New York","6/28/22","Governor","N/A","116,972","13%","Lost","N/A","N/A","N/A","No","N/A","N/A","N/A","No","N/A","N/A","N/A","No","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"647","Jumaane D. Williams","Male","Black","","","No","Yes","New York","6/28/22","Governor","N/A","173,872","19%","Lost","N/A","N/A","N/A","No","N/A","N/A","N/A","Yes","N/A","N/A","N/A","No","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"648","Jason Bollinger","Male","White","","","No","No","Oklahoma","6/28/22","Senator","N/A","27,374","17%","Made runoff","32121","35%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"649","Madison Horn","Female","Native American (Cherokee)","White","","No","No","Oklahoma","6/28/22","Senator","N/A","60,691","37%","Made runoff","60929","65%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"650","Arya Azma","Male","Middle Eastern (Iranian)","","","No","No","Oklahoma","6/28/22","Senator","N/A","11,478","7%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"651","Brandon Wade","Male","White","","","No","No","Oklahoma","6/28/22","Senator","N/A","19,986","12%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"652","Dennis L. Baker","Male","Native American (Creek / Yuchi)","","","No","No","Oklahoma","6/28/22","Senator","N/A","22,467","14%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"653","Jo Glenn","Female","White","","","No","No","Oklahoma","6/28/22","Senator","N/A","21,198","13%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"654","Kendra Horn","Female","White","","","No","No","Oklahoma","6/28/22","Senator (unexpired term)","N/A","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"655","Adam Martin","Male","Black","","","No","No","Oklahoma","6/28/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
